id,prompt
1,A golf ball on short grass.
2,A golf ball sitting on a tee.
3,A golf ball in a sand bunker.
4,A golf ball near the hole flag.
5,A golf ball on a putting green.
6,A golf ball rolling down a slope.
7,A golf ball beside a putter.
8,A golf ball on a wooden table.
9,A golf ball in a glass bowl.
10,A golf ball on a windowsill.
11,A golf ball under a park bench.
12,A golf ball in a water puddle.
13,A golf ball on a driveway.
14,A golf ball on a kitchen counter.
15,A golf ball on a laptop keyboard.
16,A golf ball under a desk lamp.
17,A golf ball on a car dashboard.
18,A golf ball in a shoe.
19,A golf ball on carpet.
20,A golf ball inside a clear jar.
21,A golf ball in fresh snow.
22,A golf ball among autumn leaves.
23,A golf ball on dry dirt.
24,A golf ball in tall grass.
25,A golf ball by a garden hose.
26,A golf ball near a sprinkler head.
27,A golf ball on a picnic table.
28,A golf ball under a leafy bush.
29,A golf ball on cracked pavement.
30,A golf ball on a beach towel.
31,A golf ball in soft sand.
32,A golf ball near seashells.
33,A golf ball on a window ledge.
34,A golf ball in a cereal bowl.
35,A golf ball next to a mug.
36,A golf ball on a book.
37,A golf ball beside a TV remote.
38,A golf ball under a couch.
39,A golf ball on a doormat.
40,A golf ball on a staircase step.
41,A golf ball under a dining chair.
42,A golf ball on a cutting board.
43,A golf ball near a kitchen sink.
44,A golf ball inside a fridge drawer.
45,A golf ball in a bathroom sink.
46,A golf ball on a tiled floor.
47,A golf ball under a coat rack.
48,A golf ball in a backpack pocket.
49,A golf ball on a school desk.
50,A golf ball in a pencil holder.
51,A golf ball on a white plate.
52,A golf ball under a tree.
53,A golf ball beside a bicycle tire.
54,A golf ball near a mailbox.
55,A golf ball on a park path.
56,A golf ball on a balcony railing.
57,A golf ball on a windowsill at night.
58,A golf ball under streetlight at night.
59,A golf ball on wet pavement.
60,A golf ball under a rainy umbrella.
61,A golf ball on a sunny patio.
62,A golf ball by a window.
63,A golf ball on a metal shelf.
64,A golf ball between two books.
65,A golf ball near a flower pot.
66,A golf ball on a welcome mat.
67,A golf ball under a coffee table.
68,A golf ball at a driving range.
69,A golf ball on an artificial mat.
70,A golf ball beside a golf tee.
71,A golf ball near a scorecard.
72,A golf ball next to tees.
73,A golf ball in a glove.
74,A golf ball by a flagstick.
75,A golf ball on a fairway.
76,A golf ball stuck in mud.
77,A golf ball under fallen branches.
78,A golf ball on a fallen log.
79,A golf ball by a water hazard.
80,A golf ball on a cart seat.
81,A golf ball on a practice green.
82,A golf ball near a range bucket.
83,A golf ball on a small mound.
84,A golf ball under a fence.
85,A golf ball in a dog bowl.
86,A golf ball on a lounge chair.
87,A golf ball on a picnic blanket.
88,A golf ball near a campfire.
89,A golf ball on a chessboard.
90,A golf ball beside a candle.
91,A golf ball near a wristwatch.
92,A golf ball on a map.
93,A golf ball in a cardboard box.
94,A golf ball inside a mailbox.
95,A golf ball on a tree stump.
96,A golf ball under a porch step.
97,A golf ball near a watering can.
98,A golf ball next to a rake.
99,A golf ball in a flower bed.
100,A golf ball on a sandy path.
