id,prompt
1,Lionel Messi dribbles past a defender
2,Lionel Messi takes a free kick
3,Lionel Messi celebrates with raised arms
4,Lionel Messi ties his boot laces
5,Lionel Messi heads the ball
6,Lionel Messi passes to a teammate
7,Lionel Messi shoots from outside the box
8,Lionel Messi jogs during warmups
9,Lionel Messi drinks water on sideline
10,Lionel Messi stretches on the grass
11,Lionel Messi waves to the crowd
12,Lionel Messi signs a fan jersey
13,Lionel Messi hugs a teammate
14,Lionel Messi talks to the referee
15,Lionel Messi sits on the bench
16,Lionel Messi checks his phone
17,Lionel Messi lifts a golden trophy
18,Lionel Messi kisses the trophy
19,Lionel Messi juggles a soccer ball
20,Lionel Messi lines up a corner
21,Lionel Messi takes a penalty kick
22,Lionel Messi receives a pass
23,Lionel Messi controls the ball calmly
24,Lionel Messi points toward the goal
25,Lionel Messi smiles during training
26,Lionel Messi adjusts his captain armband
27,Lionel Messi runs under stadium lights
28,Lionel Messi sprints down the wing
29,Lionel Messi crosses into the box
30,Lionel Messi shields the ball
31,Lionel Messi argues a foul call
32,Lionel Messi warms up with cones
33,Lionel Messi balances on one leg
34,Lionel Messi applauds the supporters
35,Lionel Messi gives a press interview
36,Lionel Messi wears a suit onstage
37,Lionel Messi boards the team bus
38,Lionel Messi walks through the tunnel
39,Lionel Messi scans the empty stands
40,Lionel Messi signs a match ball
41,Lionel Messi tapes his ankle
42,Lionel Messi adjusts his shin guards
43,Lionel Messi wraps a jacket around himself
44,Lionel Messi stands in the rain
45,Lionel Messi plays soccer on the beach
46,Lionel Messi trains in the gym
47,Lionel Messi lifts weights carefully
48,Lionel Messi does planks on mat
49,Lionel Messi stretches his hamstrings
50,Lionel Messi rides a stationary bike
51,Lionel Messi jogs on a treadmill
52,Lionel Messi takes a team photo
53,Lionel Messi shares a laugh
54,Lionel Messi signs autographs for kids
55,Lionel Messi takes a selfie with fans
56,Lionel Messi waves from a balcony
57,Lionel Messi sits at a cafe
58,Lionel Messi cooks pasta at home
59,Lionel Messi chops vegetables in kitchen
60,Lionel Messi reads a hardcover book
61,Lionel Messi plays video games
62,Lionel Messi waters plants on balcony
63,Lionel Messi walks his dog
64,Lionel Messi shops for groceries
65,Lionel Messi chooses fresh fruit
66,Lionel Messi pushes a shopping cart
67,Lionel Messi waits at a crosswalk
68,Lionel Messi opens a car door
69,Lionel Messi steps out of car
70,Lionel Messi ties a necktie
71,Lionel Messi buttons up his shirt
72,Lionel Messi adjusts a microphone
73,Lionel Messi speaks on a stage
74,Lionel Messi laughs at a joke
75,Lionel Messi signs a magazine cover
76,Lionel Messi tapes a poster
77,Lionel Messi donates gear at a charity event
78,Lionel Messi hands out school supplies
79,Lionel Messi poses with a trophy
80,Lionel Messi signs a new contract
81,Lionel Messi reviews a play on a tablet
82,Lionel Messi watches from the stands
83,Lionel Messi enjoys a family dinner
84,Lionel Messi drinks coffee by window
85,Lionel Messi wears sunglasses outdoors
86,Lionel Messi wears a hoodie at airport
87,Lionel Messi arrives at the airport
88,Lionel Messi pulls a suitcase
89,Lionel Messi waits at baggage claim
90,Lionel Messi scans a boarding pass
91,Lionel Messi greets airport staff
92,Lionel Messi signs a soccer ball
93,Lionel Messi tapes his wrists
94,Lionel Messi massages his calf
95,Lionel Messi stretches with a band
96,Lionel Messi places cones on grass
97,Lionel Messi studies tactics on whiteboard
98,Lionel Messi shakes hands with coach
99,Lionel Messi thanks the home crowd
100,Lionel Messi prays before kickoff
