id,prompt,mapping_type,note
1,A superhero stands on a rooftop,replace,replace: superhero (model_score=-0.000939)
2,A helicopter swings between tall buildings,replace,replace: helicopter (model_score=-0.000803)
3,A child climbs a brick wall,replace,replace: child (model_score=-0.001701)
4,A robot crouches on a city ledge,replace,replace: robot (model_score=-0.002942)
5,A robot runs across a rooftop,replace,replace: robot (model_score=-0.003264)
6,A person sits on a fire escape,replace,replace: person (model_score=-0.002955)
7,A robot rests on a balcony,replace,replace: robot (model_score=-0.003674)
8,A person peers through a window,replace,replace: person (model_score=-0.002725)
9,A person waves to a crowd below,replace,replace: person (model_score=-0.002281)
10,A local helps a tourist with directions,replace,replace: local (model_score=-0.003029)
11,Carries a grocery bag,remove,remove: none (model_score=-0.002069)
12,A robot drinks coffee on a bench,replace,replace: robot (model_score=-0.004414)
13,An alien reads a map on street,replace,replace: alien (model_score=-0.004898)
14,Ties a boot on steps,remove,remove: none (model_score=-0.002869)
15,A tourist takes a selfie on rooftop,replace,replace: tourist (model_score=-0.004063)
16,A bicycle rides downtown,replace,replace: bicycle (model_score=-0.002744)
17,A runner jogs along a river path,replace,replace: runner (model_score=-0.002247)
18,A thing stretches before a rooftop run,replace,replace: thing (model_score=-0.004691)
19,A person fixes a torn glove,replace,replace: person (model_score=-0.003444)
20,A thing cleans his mask with cloth,replace,replace: thing (model_score=-0.004862)
21,A superhero holds an umbrella in rain,replace,replace: superhero (model_score=-0.004039)
22,A superhero waits at a crosswalk light,replace,replace: superhero (model_score=-0.000880)
23,A superhero checks a wristwatch on street,replace,replace: superhero (model_score=-0.002391)
24,A superhero opens a door to cafe,replace,replace: superhero (model_score=-0.002143)
25,A superhero buys snacks at a kiosk,replace,replace: superhero (model_score=-0.002838)
26,A superhero feeds pigeons in the square,replace,replace: superhero (model_score=-0.000725)
27,A superhero sits under a tree shade,replace,replace: superhero (model_score=-0.001000)
28,A superhero skates on a city plaza,replace,replace: superhero (model_score=-0.002732)
29,A superhero plays soccer with kids,replace,replace: superhero (model_score=-0.002881)
30,A superhero tosses a frisbee in park,replace,replace: superhero (model_score=-0.002425)
31,A superhero reads a book in library,replace,replace: superhero (model_score=-0.004558)
32,A superhero uses a laptop at desk,replace,replace: superhero (model_score=-0.002441)
33,A superhero stands in an elevator,replace,replace: superhero (model_score=-0.003332)
34,A superhero waits on a subway platform,replace,replace: superhero (model_score=-0.003797)
35,A superhero boards a bus calmly,replace,replace: superhero (model_score=-0.001485)
36,A superhero holds balloons for children,replace,replace: superhero (model_score=-0.003911)
37,Signs autographs for fans,remove,remove: none (model_score=-0.003162)
38,A superhero poses with tourists for photos,replace,replace: superhero (model_score=-0.003929)
39,A superhero adjusts a backpack strap,replace,replace: superhero (model_score=-0.002989)
40,A superhero repairs a bike tire,replace,replace: superhero (model_score=-0.002958)
41,A statue waters plants on balcony,replace,replace: statue (model_score=-0.002539)
42,A woman folds laundry in apartment,replace,replace: woman (model_score=-0.002671)
43,An alien cooks pasta in a kitchen,replace,replace: alien (model_score=-0.001641)
44,A robot washes dishes at the sink,replace,replace: robot (model_score=-0.002708)
45,A statue sweeps the apartment floor,replace,replace: statue (model_score=-0.002170)
46,An alien opens a window for air,replace,replace: alien (model_score=-0.003623)
47,A robot looks out over the city,replace,replace: robot (model_score=-0.004777)
48,A robot watches birds from rooftop,replace,replace: robot (model_score=-0.003440)
49,An alien practices yoga on a mat,replace,replace: alien (model_score=-0.003347)
50,An alien meditates on a quiet roof,replace,replace: alien (model_score=-0.001365)
51,Does pushups beside a bench,remove,remove: none (model_score=-0.002645)
52,An elephant skips rope in a gym,replace,replace: elephant (model_score=-0.002503)
53,A clown lifts a kettlebell in gym,replace,replace: clown (model_score=-0.000846)
54,An acrobat does a handstand by the wall,replace,replace: acrobat (model_score=-0.001614)
55,A gymnast does a handstand by the wall,replace,replace: gymnast (model_score=-0.003178)
56,Stretches hamstrings on steps,remove,remove: none (model_score=-0.002437)
57,A boxer wraps hands with athletic tape,replace,replace: boxer (model_score=-0.001467)
58,Changes a light bulb inside,remove,remove: none (model_score=-0.003889)
59,A plumber fixes a leaky faucet,replace,replace: plumber (model_score=-0.003619)
60,A postman checks a mailbox in lobby,replace,replace: postman (model_score=-0.002208)
61,A superhero character collects a package at door,replace,replace: superhero character (model_score=-0.002146)
62,An elf decorates a small Christmas tree,replace,replace: elf (model_score=-0.005786)
63,An elf hangs lights on the balcony,replace,replace: elf (model_score=-0.000948)
64,A robot sets a table for dinner,replace,replace: robot (model_score=-0.003336)
65,A robot eats pizza on the couch,replace,replace: robot (model_score=-0.002849)
66,A thing drinks water after a run,replace,replace: thing (model_score=-0.002151)
67,A robot naps on a living room sofa,replace,replace: robot (model_score=-0.005128)
68,A figure watches a movie on TV,replace,replace: figure (model_score=-0.001933)
69,A monkey plays a video game console,replace,replace: monkey (model_score=-0.001826)
70,A child listens to music with headphones,replace,replace: child (model_score=-0.004053)
71,A superhero calls a friend on phone,replace,replace: superhero (model_score=-0.001310)
72,An alien paints a small canvas art,replace,replace: alien (model_score=-0.002886)
73,A hero draws in a sketchbook,replace,replace: hero (model_score=-0.003946)
74,An alien writes notes in a notebook,replace,replace: alien (model_score=-0.003421)
75,An alien takes out trash at night,replace,replace: alien (model_score=-0.002538)
76,A robot recycles bottles in bin,replace,replace: robot (model_score=-0.003052)
77,A hero mops the kitchen floor,replace,replace: hero (model_score=-0.001901)
78,A man vacuums a rug in living room,replace,replace: man (model_score=-0.003474)
79,A hero folds a blanket neatly,replace,replace: hero (model_score=-0.003615)
80,A hero opens a fridge to snack,replace,replace: hero (model_score=-0.003374)
81,A farmer picks apples at a farm,replace,replace: farmer (model_score=-0.002020)
82,A snowman stands in light snowfall,replace,replace: snowman (model_score=-0.004768)
83,A person walks in gentle rain,replace,replace: person (model_score=-0.002530)
84,A person shields eyes from bright sun,replace,replace: person (model_score=-0.004429)
85,A person stands under a street lamp,replace,replace: person (model_score=-0.003315)
86,A child watches fireworks at night,replace,replace: child (model_score=-0.002447)
87,A person admires a city skyline,replace,replace: person (model_score=-0.002014)
88,An owl sits by a campfire at dusk,replace,replace: owl (model_score=-0.002735)
89,A child paddles a kayak on lake,replace,replace: child (model_score=-0.002496)
90,A couple climbs a tree in park,replace,replace: couple (model_score=-0.003331)
91,A superhero pets a dog on sidewalk,replace,replace: superhero (model_score=-0.002255)
92,An alien hands water to a runner,replace,replace: alien (model_score=-0.003964)
93,A superhero shops for fruit at market,replace,replace: superhero (model_score=-0.003360)
94,A superhero waits in line at bakery,replace,replace: superhero (model_score=-0.002203)
95,A superhero pays cash at a counter,replace,replace: superhero (model_score=-0.002009)
96,A superhero tries on sunglasses in store,replace,replace: superhero (model_score=-0.002980)
97,A superhero reads news on a phone,replace,replace: superhero (model_score=-0.003115)
98,A superhero crosses a quiet residential street,replace,replace: superhero (model_score=-0.002616)
99,A superhero leans on a brick wall,replace,replace: superhero (model_score=-0.001615)
100,A superhero smiles for a street photographer,replace,replace: superhero (model_score=-0.003951)
