id,prompt,mapping_type,note
1,A dog in a sketch style plays fetch,replace,replace: sketch style (model_score=-0.003335)
2,A cat in a sketch style naps inside,replace,replace: sketch style (model_score=-0.002762)
3,A boy in a realistic style rides bicycle,replace,replace: realistic style (model_score=-0.002452)
4,A girl in a sketch style reads a book,replace,replace: sketch style (model_score=-0.000757)
5,A chef in oil painting style chops vegetables,replace,replace: oil painting style (model_score=-0.003705)
6,A runner in a sketch style ties shoes,replace,replace: sketch style (model_score=-0.002153)
7,A painter in a digital art style holds brush,replace,replace: digital art style (model_score=-0.003293)
8,A teacher in a realistic style writes on board,replace,replace: realistic style (model_score=-0.002741)
9,A cyclist in impressionist style fixes a tire,replace,replace: impressionist style (model_score=-0.003986)
10,A swimmer in a realistic style adjusts goggles,replace,replace: realistic style (model_score=-0.006082)
11,A dancer in a fancy dress stretches backstage,replace,replace: a fancy dress (model_score=-0.002160)
12,A hiker in a cozy hoodie drinks water,replace,replace: a cozy hoodie (model_score=-0.002219)
13,A gamer in a playful jacket holds controller,replace,replace: a playful jacket (model_score=-0.004186)
14,A baker in a bright shirt kneads dough,replace,replace: a bright shirt (model_score=-0.005003)
15,A barista in a lively outfit steams milk,replace,replace: a lively outfit (model_score=-0.004618)
16,A shopper in a fun shirt carries bags,replace,replace: a fun shirt (model_score=-0.002711)
17,A driver in a funky vehicle washes car,replace,replace: a funky vehicle (model_score=-0.002215)
18,A mechanic in a unique uniform checks engine,replace,replace: a unique uniform (model_score=-0.002213)
19,A student in a bright shirt opens locker,replace,replace: a bright shirt (model_score=-0.003942)
20,A child in a cheerful dress feeds ducks,replace,replace: a cheerful dress (model_score=-0.006328)
21,A violinist tunes strings,remove,remove: none (model_score=-0.004954)
22,A drummer in a dynamic setting plays loudly,replace,replace: dynamic setting (model_score=-0.003048)
23,A singer in a bright studio tests microphone,replace,replace: bright studio (model_score=-0.003746)
24,A photographer adjusts lens,remove,remove: none (model_score=-0.004002)
25,A tourist in a foreign city studies map,replace,replace: foreign city (model_score=-0.002716)
26,A gardener in a cheerful environment waters plants,replace,replace: cheerful environment (model_score=-0.001996)
27,A nurse checks pulse,remove,remove: none (model_score=-0.002507)
28,A doctor reads chart,remove,remove: none (model_score=-0.004158)
29,A lifeguard in a cheerful environment scans water,replace,replace: cheerful environment (model_score=-0.006325)
30,A firefighter in a bright location holds hose,replace,replace: bright location (model_score=-0.002038)
31,A police officer in a comic style directs traffic,replace,replace: comic style (model_score=-0.003262)
32,A pilot in a comic style checks instruments,replace,replace: comic style (model_score=-0.001251)
33,A flight attendant in a comic style pours drinks,replace,replace: comic style (model_score=-0.002779)
34,A sailor in a comic style ties rope,replace,replace: comic style (model_score=-0.001300)
35,A fisher in a comic style casts line,replace,replace: comic style (model_score=-0.003878)
36,A farmer in a comic style holds a chicken,replace,replace: comic style (model_score=-0.001568)
37,A butcher in a comic style arranges sausages,replace,replace: comic style (model_score=-0.001839)
38,A grocer in a watercolor style stacks apples,replace,replace: watercolor style (model_score=-0.002725)
39,A vendor in a comic style counts cash,replace,replace: comic style (model_score=-0.002447)
40,A librarian in a comic style scans books,replace,replace: comic style (model_score=-0.004305)
41,A cashier in a playful style bags groceries,replace,replace: playful style (model_score=-0.004995)
42,A waiter in a bright apron serves soup,replace,replace: bright apron (model_score=-0.004995)
43,A cook in a whimsical outfit flips pancakes,replace,replace: whimsical outfit (model_score=-0.003057)
44,A surfer in a playful design waxes board,replace,replace: playful design (model_score=-0.002105)
45,A skater tightens laces,remove,remove: none (model_score=-0.002755)
46,A skier in a trendy design holds poles,replace,replace: trendy design (model_score=-0.003199)
47,A snowboarder in a funky style adjusts bindings,replace,replace: funky style (model_score=-0.002447)
48,A climber in a playful design checks harness,replace,replace: playful design (model_score=-0.002980)
49,A soccer player in a playful style juggles ball,replace,replace: playful style (model_score=-0.002093)
50,A tennis player in a funky design swings racket,replace,replace: funky design (model_score=-0.004170)
51,A baseball player in sketch style catches ball,replace,replace: sketch style (model_score=-0.003414)
52,A basketball player in a realistic style dribbles slowly,replace,replace: realistic style (model_score=-0.002632)
53,A goalie in an abstract style dives sideways,replace,replace: abstract style (model_score=-0.005196)
54,A referee in sketch style blows whistle,replace,replace: sketch style (model_score=-0.004365)
55,A coach in sketch style talks strategy,replace,replace: sketch style (model_score=-0.002111)
56,A scientist in an abstract style holds beaker,replace,replace: abstract style (model_score=-0.002091)
57,A programmer in a modern style types quickly,replace,replace: modern style (model_score=-0.003758)
58,A writer in an abstract style signs books,replace,replace: abstract style (model_score=-0.003352)
59,A painter in sketch style cleans palette,replace,replace: sketch style (model_score=-0.002966)
60,A sculptor in an abstract style chisels stone,replace,replace: abstract style (model_score=-0.003046)
61,A potter in a realistic style shapes clay,replace,replace: realistic style (model_score=-0.002975)
62,A tailor in an abstract style measures fabric,replace,replace: abstract style (model_score=-0.004008)
63,A seamstress in a whimsical style threads needle,replace,replace: whimsical style (model_score=-0.001242)
64,A jeweler in a realistic style examines ring,replace,replace: realistic style (model_score=-0.003267)
65,A barber in a playful style trims beard,replace,replace: playful style (model_score=-0.003910)
66,A hairdresser in a playful style curls hair,replace,replace: playful style (model_score=-0.002629)
67,A makeup artist applies blush,remove,remove: none (model_score=-0.002512)
68,A model in a playful style poses confidently,replace,replace: playful style (model_score=-0.001675)
69,A teacher in an abstract style grades papers,replace,replace: abstract style (model_score=-0.001763)
70,A student in a realistic style raises hand,replace,replace: realistic style (model_score=-0.001023)
71,A child in a cartoonish hat builds blocks,replace,replace: cartoonish hat (model_score=-0.003537)
72,A baby sleeps peacefully,remove,remove: none (model_score=-0.004426)
73,A mother hugs child,remove,remove: none (model_score=-0.002538)
74,A father in a bright shirt ties a tie,replace,replace: bright shirt (model_score=-0.001446)
75,A couple in summer clothes walks together,replace,replace: summer clothes (model_score=-0.003083)
76,Two friends in bright colors share pizza,replace,replace: bright colors (model_score=-0.003952)
77,A family eats dinner,remove,remove: none (model_score=-0.002629)
78,A group in bright clothes plays cards,replace,replace: bright clothes (model_score=-0.003243)
79,A crowd in matching outfits watches parade,replace,replace: matching outfits (model_score=-0.003006)
80,A monk in a bright robe sweeps courtyard,replace,replace: bright robe (model_score=-0.001000)
81,A clerk in a comic style stamps forms,replace,replace: comic style (model_score=-0.002951)
82,A mail carrier in a comic style sorts letters,replace,replace: comic style (model_score=-0.001745)
83,A delivery driver in a comic style lifts box,replace,replace: comic style (model_score=-0.002342)
84,A construction worker in a comic style carries wood,replace,replace: comic style (model_score=-0.003003)
85,An architect in a comic style reviews plans,replace,replace: comic style (model_score=-0.002422)
86,A manager in a comic style checks schedule,replace,replace: comic style (model_score=-0.001773)
87,An office worker in a comic style makes coffee,replace,replace: comic style (model_score=-0.001731)
88,A reporter in a comic style interviews someone,replace,replace: comic style (model_score=-0.002838)
89,A tourist in a comic style takes a selfie,replace,replace: comic style (model_score=-0.002286)
90,A camper in a comic style lights lantern,replace,replace: comic style (model_score=-0.003213)
91,A child in an artistic style draws a house,replace,replace: artistic style (model_score=-0.001474)
92,A cat in an artistic representation chases a feather,replace,replace: artistic representation (model_score=-0.002047)
93,A dog in a realistic style chews a shoe,replace,replace: realistic style (model_score=-0.001936)
94,A horse in a realistic style grazes quietly,replace,replace: realistic style (model_score=-0.000840)
95,A cow in an artistic style stands in meadow,replace,replace: artistic style (model_score=-0.002754)
96,A fox in a playful theme peeks from bushes,replace,replace: playful theme (model_score=-0.002692)
97,A bird in realistic colors perches on fence,replace,replace: realistic colors (model_score=-0.002517)
98,A fish in a stylized design swims near rocks,replace,replace: design (model_score=-0.001443)
99,A robot in minimalistic style waves hello,replace,replace: minimalistic style (model_score=-0.002208)
100,A teddy bear in watercolor style sits on bed,replace,replace: watercolor style (model_score=-0.003779)
