id,prompt
1,Brad Pitt walks along a beach
2,Brad Pitt sits on a park bench
3,Brad Pitt jogs through a city street
4,Brad Pitt drinks coffee at a cafe
5,Brad Pitt reads a book in sunlight
6,Brad Pitt poses on a red carpet
7,Brad Pitt rides a bicycle downtown
8,Brad Pitt waits at a bus stop
9,Brad Pitt holds an umbrella in rain
10,Brad Pitt hikes up a forest trail
11,Brad Pitt cooks in a home kitchen
12,Brad Pitt ties his shoe by stairs
13,Brad Pitt plays guitar on a porch
14,Brad Pitt laughs with friends at dinner
15,Brad Pitt looks at a city map
16,Brad Pitt talks with a street vendor
17,Brad Pitt jogs on a treadmill at gym
18,Brad Pitt stretches before a morning run
19,Brad Pitt waves to fans outside theater
20,Brad Pitt signs autographs behind barriers
21,Brad Pitt takes selfies by a fountain
22,Brad Pitt wears sunglasses on the sidewalk
23,Brad Pitt stands beside a yellow taxi
24,Brad Pitt boards a train at night
25,Brad Pitt waits in an airport lounge
26,Brad Pitt carries groceries from a store
27,Brad Pitt shops for fruit at market
28,Brad Pitt feeds ducks at the pond
29,Brad Pitt paints a wall at home
30,Brad Pitt waters plants on a balcony
31,Brad Pitt checks his phone while walking
32,Brad Pitt chats on a park path
33,Brad Pitt throws a frisbee on grass
34,Brad Pitt plays chess at a cafe
35,Brad Pitt fixes a bike in a garage
36,Brad Pitt watches street performers at noon
37,Brad Pitt drinks water after a run
38,Brad Pitt rests under a shady tree
39,Brad Pitt pets a dog on sidewalk
40,Brad Pitt takes photos of city skyline
41,Brad Pitt admires paintings in a museum
42,Brad Pitt waits in line for coffee
43,Brad Pitt opens a window at home
44,Brad Pitt sips tea near a window
45,Brad Pitt types on a laptop in library
46,Brad Pitt sketches in a quiet studio
47,Brad Pitt practices lines on a stage
48,Brad Pitt lifts weights at the gym
49,Brad Pitt stretches on a yoga mat
50,Brad Pitt balances on a skateboard
51,Brad Pitt rides a scooter down the street
52,Brad Pitt stands on a rooftop at dusk
53,Brad Pitt watches fireworks by the river
54,Brad Pitt waits under streetlights at night
55,Brad Pitt sits by a campfire
56,Brad Pitt roasts marshmallows with friends
57,Brad Pitt rows a boat on a lake
58,Brad Pitt paddles a kayak at sunrise
59,Brad Pitt builds a sandcastle on the beach
60,Brad Pitt flies a kite in wind
61,Brad Pitt watches waves from a pier
62,Brad Pitt reads a script on set
63,Brad Pitt holds flowers on a sidewalk
64,Brad Pitt stands in falling snow
65,Brad Pitt wears a scarf in winter
66,Brad Pitt shovels snow on a driveway
67,Brad Pitt warms hands by a heater
68,Brad Pitt watches rain from a doorway
69,Brad Pitt browses books in a bookstore
70,Brad Pitt laughs during a casual interview
71,Brad Pitt waves from a balcony
72,Brad Pitt stands beside a movie poster
73,Brad Pitt chats with a taxi driver
74,Brad Pitt rides a horse at sunset
75,Brad Pitt pets a cat at home
76,Brad Pitt feeds pigeons in the square
77,Brad Pitt eats noodles at a stall
78,Brad Pitt orders coffee at the counter
79,Brad Pitt pays at a grocery checkout
80,Brad Pitt tries on a gray suit
81,Brad Pitt browses jackets in a boutique
82,Brad Pitt examines a watch under lights
83,Brad Pitt crosses a busy intersection
84,Brad Pitt waits for an elevator
85,Brad Pitt walks a dog at dusk
86,Brad Pitt chats beside a garden fence
87,Brad Pitt grills vegetables on a patio
88,Brad Pitt serves salad at a table
89,Brad Pitt wipes a window with a cloth
90,Brad Pitt stands at a classroom door
91,Brad Pitt writes notes on a whiteboard
92,Brad Pitt hands papers to a colleague
93,Brad Pitt reviews photos on a camera
94,Brad Pitt adjusts a tie in a mirror
95,Brad Pitt waits at a crosswalk signal
96,Brad Pitt boards a bus in the rain
97,Brad Pitt steps from a yellow cab
98,Brad Pitt jogs beside a river path
99,Brad Pitt stands in a newsroom
100,Brad Pitt eats breakfast on a balcony
