id,prompt
1,Mickey Mouse waves on a parade float
2,Mickey Mouse stands on a sunny beach
3,Mickey Mouse sits on a park bench
4,Mickey Mouse holds three balloons in town
5,Mickey Mouse eats ice cream by fountains
6,Mickey Mouse rides a bicycle down street
7,Mickey Mouse reads a book in library
8,Mickey Mouse paints at an easel outside
9,Mickey Mouse cooks in a home kitchen
10,Mickey Mouse bakes cookies on a tray
11,Mickey Mouse drinks coffee at a cafe
12,Mickey Mouse shops in a grocery aisle
13,Mickey Mouse pushes a cart in supermarket
14,Mickey Mouse checks a phone at crosswalk
15,Mickey Mouse takes a selfie by river
16,Mickey Mouse plays guitar on a stage
17,Mickey Mouse drums on a small kit
18,Mickey Mouse sings into a microphone
19,Mickey Mouse dances under street lights
20,Mickey Mouse jogs on a forest trail
21,Mickey Mouse hikes up a rocky hill
22,Mickey Mouse camps beside a glowing tent
23,Mickey Mouse roasts marshmallows over fire pit
24,Mickey Mouse fishes from a wooden pier
25,Mickey Mouse paddles a canoe on lake
26,Mickey Mouse sails a small boat
27,Mickey Mouse swims in a clear pool
28,Mickey Mouse builds a sandcastle near waves
29,Mickey Mouse flies a kite in wind
30,Mickey Mouse watches fireworks at night
31,Mickey Mouse waits at a bus stop
32,Mickey Mouse rides a city bus
33,Mickey Mouse boards a train at platform
34,Mickey Mouse reads signs at airport gate
35,Mickey Mouse pulls a suitcase through terminal
36,Mickey Mouse sits by an airplane window
37,Mickey Mouse rides an escalator in mall
38,Mickey Mouse stands in an art museum
39,Mickey Mouse sketches statues in a gallery
40,Mickey Mouse photographs birds in the park
41,Mickey Mouse waters plants on a balcony
42,Mickey Mouse opens a window at home
43,Mickey Mouse vacuums a living room carpet
44,Mickey Mouse watches TV on a couch
45,Mickey Mouse plays chess at a table
46,Mickey Mouse builds a model train set
47,Mickey Mouse sorts books on a shelf
48,Mickey Mouse writes a letter at desk
49,Mickey Mouse types on a laptop
50,Mickey Mouse plays a video game
51,Mickey Mouse rides a skateboard down hill
52,Mickey Mouse rides a scooter along riverside path
53,Mickey Mouse roller skates on a boardwalk
54,Mickey Mouse balances on a slackline in park
55,Mickey Mouse practices yoga on a mat
56,Mickey Mouse stretches before a morning run
57,Mickey Mouse drinks water after jogging
58,Mickey Mouse buys fruit at a market
59,Mickey Mouse picks apples in an orchard
60,Mickey Mouse feeds ducks at a pond
61,Mickey Mouse pets a golden retriever
62,Mickey Mouse brushes a horse at stable
63,Mickey Mouse visits a petting zoo
64,Mickey Mouse watches penguins at the zoo
65,Mickey Mouse takes notes in a classroom
66,Mickey Mouse writes on a chalkboard
67,Mickey Mouse reads to children in library
68,Mickey Mouse stacks blocks with a child
69,Mickey Mouse draws with crayons at table
70,Mickey Mouse colors a page in notebook
71,Mickey Mouse wraps a gift with ribbon
72,Mickey Mouse decorates a tree with lights
73,Mickey Mouse hangs a wreath on door
74,Mickey Mouse shovels snow on the sidewalk
75,Mickey Mouse builds a snowman in yard
76,Mickey Mouse drinks cocoa by a fireplace
77,Mickey Mouse wears a scarf in snow
78,Mickey Mouse holds an umbrella in rain
79,Mickey Mouse splashes in a puddle
80,Mickey Mouse watches clouds from a hill
81,Mickey Mouse points at a rainbow
82,Mickey Mouse smells flowers in a garden
83,Mickey Mouse rakes leaves in the yard
84,Mickey Mouse paints a fence white
85,Mickey Mouse washes a red car
86,Mickey Mouse fills a bird feeder
87,Mickey Mouse grills vegetables on a patio
88,Mickey Mouse sets a table for dinner
89,Mickey Mouse serves soup in a bowl
90,Mickey Mouse eats breakfast at sunrise
91,Mickey Mouse waits in line at kiosk
92,Mickey Mouse buys tickets at the window
93,Mickey Mouse rides a carousel horse
94,Mickey Mouse plays ring toss at fair
95,Mickey Mouse wins a small prize
96,Mickey Mouse poses with a mascot
97,Mickey Mouse stands beside a street artist
98,Mickey Mouse gets a balloon animal
99,Mickey Mouse reads a map downtown
100,Mickey Mouse waves from a hotel balcony
