id,prompt,mapping_type,note
1,A cartoon character waves on a parade float,replace,replace: cartoon character (model_score=-0.002626)
2,A cartoon character stands on a sunny beach,replace,replace: cartoon character (model_score=-0.003621)
3,Sits on a park bench,remove,remove: none (model_score=-0.004691)
4,A puppy holds three balloons in town,replace,replace: puppy (model_score=-0.001517)
5,A robot eats ice cream by fountains,replace,replace: robot (model_score=-0.002086)
6,A monkey rides a bicycle down street,replace,replace: monkey (model_score=-0.001626)
7,A cartoon character reads a book in library,replace,replace: cartoon character (model_score=-0.003034)
8,An object paints at an easel outside,replace,replace: object (model_score=-0.003113)
9,A teddy bear cooks in a home kitchen,replace,replace: teddy bear (model_score=-0.000674)
10,A teddy bear bakes cookies on a tray,replace,replace: teddy bear (model_score=-0.001897)
11,A robot drinks coffee at a cafe,replace,replace: robot (model_score=-0.003188)
12,A thing shops in a grocery aisle,replace,replace: thing (model_score=-0.001615)
13,A teddy bear pushes a cart in supermarket,replace,replace: teddy bear (model_score=-0.002517)
14,An artist checks a phone at crosswalk,replace,replace: artist (model_score=-0.002003)
15,A thing takes a selfie by river,replace,replace: thing (model_score=-0.001636)
16,A cat plays guitar on a stage,replace,replace: cat (model_score=-0.003108)
17,Drums on a small kit,remove,remove: none (model_score=-0.001288)
18,A thing sings into a microphone,replace,replace: thing (model_score=-0.002454)
19,A monkey dances under street lights,replace,replace: monkey (model_score=-0.001558)
20,An alien jogs on a forest trail,replace,replace: alien (model_score=-0.003800)
21,An animal hikes up a rocky hill,replace,replace: animal (model_score=-0.002714)
22,A fox camps beside a glowing tent,replace,replace: fox (model_score=-0.002463)
23,A raccoon roasts marshmallows over fire pit,replace,replace: raccoon (model_score=-0.002340)
24,A cat fishes from a wooden pier,replace,replace: cat (model_score=-0.002665)
25,A rabbit paddles a canoe on lake,replace,replace: rabbit (model_score=-0.002912)
26,An owl sails a small boat,replace,replace: owl (model_score=-0.002081)
27,An animal swims in a clear pool,replace,replace: animal (model_score=-0.002907)
28,A rabbit builds a sandcastle near waves,replace,replace: rabbit (model_score=-0.002131)
29,A rabbit flies a kite in wind,replace,replace: rabbit (model_score=-0.002895)
30,A person watches fireworks at night,replace,replace: person (model_score=-0.001337)
31,A creature waits at a bus stop,replace,replace: creature (model_score=-0.001463)
32,A rabbit rides a city bus,replace,replace: rabbit (model_score=-0.001530)
33,A lion boards a train at platform,replace,replace: lion (model_score=-0.004178)
34,A dog reads signs at airport gate,replace,replace: dog (model_score=-0.002705)
35,A dog pulls a suitcase through terminal,replace,replace: dog (model_score=-0.002624)
36,A cartoon character sits by an airplane window,replace,replace: cartoon character (model_score=-0.001915)
37,A cat rides an escalator in mall,replace,replace: cat (model_score=-0.002129)
38,A cartoon character stands in an art museum,replace,replace: cartoon character (model_score=-0.001009)
39,A cartoon character sketches statues in a gallery,replace,replace: cartoon character (model_score=-0.001734)
40,A person photographs birds in the park,replace,replace: person (model_score=-0.002915)
41,An animal waters plants on a balcony,replace,replace: animal (model_score=-0.002341)
42,A creature opens a window at home,replace,replace: creature (model_score=-0.004542)
43,A lion vacuums a living room carpet,replace,replace: lion (model_score=-0.002873)
44,A creature watches TV on a couch,replace,replace: creature (model_score=-0.003915)
45,Plays chess at a table,remove,remove: none (model_score=-0.003000)
46,A bear builds a model train set,replace,replace: bear (model_score=-0.003038)
47,A rabbit sorts books on a shelf,replace,replace: rabbit (model_score=-0.004227)
48,A rabbit writes a letter at desk,replace,replace: rabbit (model_score=-0.004264)
49,Types on a laptop,remove,remove: none (model_score=-0.002219)
50,A rabbit plays a video game,replace,replace: rabbit (model_score=-0.002398)
51,A rabbit rides a skateboard down hill,replace,replace: rabbit (model_score=-0.003596)
52,A rabbit rides a scooter along riverside path,replace,replace: rabbit (model_score=-0.002011)
53,Roller skates on a boardwalk,remove,remove: none (model_score=-0.001085)
54,An animal balances on a slackline in park,replace,replace: animal (model_score=-0.002660)
55,An elephant practices yoga on a mat,replace,replace: elephant (model_score=-0.002767)
56,A monkey stretches before a morning run,replace,replace: monkey (model_score=-0.002344)
57,Drinks water after jogging,remove,remove: none (model_score=-0.003130)
58,A monkey buys fruit at a market,replace,replace: monkey (model_score=-0.002891)
59,A rabbit picks apples in an orchard,replace,replace: rabbit (model_score=-0.002313)
60,A rabbit feeds ducks at a pond,replace,replace: rabbit (model_score=-0.003126)
61,An elf pets a golden retriever,replace,replace: elf (model_score=-0.003489)
62,A cartoon character brushes a horse at stable,replace,replace: cartoon character (model_score=-0.001385)
63,A teacher visits a petting zoo,replace,replace: teacher (model_score=-0.002237)
64,A penguin watches penguins at the zoo,replace,replace: penguin (model_score=-0.001399)
65,A cartoon character takes notes in a classroom,replace,replace: cartoon character (model_score=-0.004079)
66,A cartoon character writes on a chalkboard,replace,replace: cartoon character (model_score=-0.003622)
67,A storyteller reads to children in library,replace,replace: storyteller (model_score=-0.002148)
68,A friend stacks blocks with a child,replace,replace: friend (model_score=-0.002891)
69,A cartoon character draws with crayons at table,replace,replace: cartoon character (model_score=-0.002840)
70,A cartoon character colors a page in notebook,replace,replace: cartoon character (model_score=-0.002397)
71,A bear wraps a gift with ribbon,replace,replace: bear (model_score=-0.002691)
72,An elf decorates a tree with lights,replace,replace: elf (model_score=-0.001639)
73,An elf hangs a wreath on door,replace,replace: elf (model_score=-0.003423)
74,A rabbit shovels snow on the sidewalk,replace,replace: rabbit (model_score=-0.002966)
75,Builds a snowman in yard,remove,remove: none (model_score=-0.002976)
76,An elf drinks cocoa by a fireplace,replace,replace: elf (model_score=-0.002809)
77,A creature wears a scarf in snow,replace,replace: creature (model_score=-0.002994)
78,A bear holds an umbrella in rain,replace,replace: bear (model_score=-0.003513)
79,A bear splashes in a puddle,replace,replace: bear (model_score=-0.002496)
80,A creature watches clouds from a hill,replace,replace: creature (model_score=-0.002027)
81,A bear points at a rainbow,replace,replace: bear (model_score=-0.000769)
82,An elf smells flowers in a garden,replace,replace: elf (model_score=-0.004415)
83,A child rakes leaves in the yard,replace,replace: child (model_score=-0.004567)
84,An artist paints a fence white,replace,replace: artist (model_score=-0.002617)
85,A robot dog washes a red car,replace,replace: robot dog (model_score=-0.002647)
86,A cat fills a bird feeder,replace,replace: cat (model_score=-0.002645)
87,A cat grills vegetables on a patio,replace,replace: cat (model_score=-0.002038)
88,An elf sets a table for dinner,replace,replace: elf (model_score=-0.002231)
89,An elf serves soup in a bowl,replace,replace: elf (model_score=-0.002679)
90,A creature eats breakfast at sunrise,replace,replace: creature (model_score=-0.002224)
91,A rabbit waits in line at kiosk,replace,replace: rabbit (model_score=-0.003955)
92,A monkey buys tickets at the window,replace,replace: monkey (model_score=-0.002312)
93,An elephant rides a carousel horse,replace,replace: elephant (model_score=-0.002874)
94,A bear plays ring toss at fair,replace,replace: bear (model_score=-0.005655)
95,A monkey wins a small prize,replace,replace: monkey (model_score=-0.002206)
96,A mascot poses with a character,replace,replace: mascot (model_score=-0.002981)
97,A monkey stands beside a street artist,replace,replace: monkey (model_score=-0.002363)
98,A monkey gets a balloon animal,replace,replace: monkey (model_score=-0.003904)
99,A rabbit reads a map downtown,replace,replace: rabbit (model_score=-0.002077)
100,A character waves from a hotel balcony,replace,replace: character (model_score=-0.002170)
