id,prompt,mapping_type,note
1,A child walks along a beach,replace,replace: child (model_score=-0.000078)
2,A child sits on a park bench,replace,replace: child (model_score=-0.000067)
3,A child jogs through a city street,replace,replace: child (model_score=-0.000074)
4,A couple drinks coffee at a cafe,replace,replace: couple (model_score=-0.000084)
5,An old man reads a book in sunlight,replace,replace: old man (model_score=-0.000059)
6,An actor poses on a red carpet,replace,replace: actor (model_score=-0.000099)
7,A child rides a bicycle downtown,replace,replace: child (model_score=-0.000073)
8,An elderly man waits at a bus stop,replace,replace: elderly man (model_score=-0.000059)
9,A couple holds an umbrella in rain,replace,replace: couple (model_score=-0.000105)
10,An elderly woman hikes up a forest trail,replace,replace: elderly woman (model_score=-0.000070)
11,A chef cooks in a home kitchen,replace,replace: chef (model_score=-0.000063)
12,Someone ties their shoe by stairs,remove,remove: none (model_score=-0.000060)
13,Someone plays guitar on a porch,remove,remove: none (model_score=-0.000075)
14,A neighbor laughs with friends at dinner,replace,replace: neighbor (model_score=-0.000074)
15,A tourist looks at a city map,replace,replace: tourist (model_score=-0.000060)
16,A child talks with a street vendor,replace,replace: child (model_score=-0.000065)
17,A man jogs on a treadmill at gym,replace,replace: man (model_score=-0.000068)
18,A child stretches before a morning run,replace,replace: child (model_score=-0.000091)
19,Someone waves to fans outside theater,remove,remove: none (model_score=-0.000040)
20,A celebrity signs autographs behind barriers,replace,replace: celebrity (model_score=-0.000068)
21,Takes selfies by a fountain,remove,remove: none (model_score=-0.000063)
22,A person wears sunglasses on the sidewalk,replace,replace: person (model_score=-0.000070)
23,A woman stands beside a yellow taxi,replace,replace: woman (model_score=-0.000052)
24,A friend boards a train at night,replace,replace: friend (model_score=-0.000060)
25,Waits in an airport lounge,remove,remove: none (model_score=-0.000069)
26,A child carries groceries from a store,replace,replace: child (model_score=-0.000056)
27,A child shops for fruit at market,replace,replace: child (model_score=-0.000069)
28,A caretaker feeds ducks at the pond,replace,replace: caretaker (model_score=-0.000088)
29,A child paints a wall at home,replace,replace: child (model_score=-0.000092)
30,A couple waters plants on a balcony,replace,replace: couple (model_score=-0.000062)
31,A teenager checks their phone while walking,replace,replace: teenager (model_score=-0.000068)
32,A child chats on a park path,replace,replace: child (model_score=-0.000065)
33,A child throws a frisbee on grass,replace,replace: child (model_score=-0.000097)
34,Two friends play chess at a cafe,replace,replace: friends (model_score=-0.000071)
35,A person fixes a bike in a garage,replace,replace: person (model_score=-0.000063)
36,A child watches street performers at noon,replace,replace: child (model_score=-0.000072)
37,Drinks water after a run,remove,remove: none (model_score=-0.000082)
38,Rests under a shady tree,remove,remove: none (model_score=-0.000049)
39,A neighbor pets a dog on sidewalk,replace,replace: neighbor (model_score=-0.000074)
40,Takes photos of city skyline,remove,remove: none (model_score=-0.000059)
41,A critic admires paintings in a museum,replace,replace: critic (model_score=-0.000063)
42,A local waits in line for coffee,replace,replace: local (model_score=-0.000094)
43,A relative opens a window at home,replace,replace: relative (model_score=-0.000070)
44,A relative sips tea near a window,replace,replace: relative (model_score=-0.000056)
45,A scholar types on a laptop in library,replace,replace: scholar (model_score=-0.000055)
46,A teacher sketches in a quiet studio,replace,replace: teacher (model_score=-0.000077)
47,An actor practices lines on a stage,replace,replace: actor (model_score=-0.000082)
48,A bodybuilder lifts weights at the gym,replace,replace: bodybuilder (model_score=-0.000061)
49,A neighbor stretches on a yoga mat,replace,replace: neighbor (model_score=-0.000077)
50,A child balances on a skateboard,replace,replace: child (model_score=-0.000090)
51,Rides a scooter down the street,remove,remove: none (model_score=-0.000056)
52,A man stands on a rooftop at dusk,replace,replace: man (model_score=-0.000092)
53,A couple watches fireworks by the river,replace,replace: couple (model_score=-0.000077)
54,Waits under streetlights at night,remove,remove: none (model_score=-0.000072)
55,A child sits by a campfire,replace,replace: child (model_score=-0.000060)
56,A child roasts marshmallows with friends,replace,replace: child (model_score=-0.000067)
57,A child rows a boat on a lake,replace,replace: child (model_score=-0.000071)
58,A child paddles a kayak at sunrise,replace,replace: child (model_score=-0.000062)
59,An artist builds a sandcastle on the beach,replace,replace: artist (model_score=-0.000065)
60,An adult flies a kite in wind,replace,replace: adult (model_score=-0.000080)
61,A lifeguard watches waves from a pier,replace,replace: lifeguard (model_score=-0.000080)
62,An extra reads a script on set,replace,replace: extra (model_score=-0.000065)
63,An elderly person holds flowers on a sidewalk,replace,replace: elderly person (model_score=-0.000038)
64,A child stands in falling snow,replace,replace: child (model_score=-0.000074)
65,An elderly person wears a scarf in winter,replace,replace: elderly person (model_score=-0.000072)
66,Someone shovels snow on a driveway,replace,replace: someone (model_score=-0.000071)
67,An individual warms hands by a heater,replace,replace: individual (model_score=-0.000049)
68,A child watches rain from a doorway,replace,replace: child (model_score=-0.000075)
69,A child browses books in a bookstore,replace,replace: child (model_score=-0.000062)
70,A celebrity laughs during a casual interview,replace,replace: celebrity (model_score=-0.000055)
71,A celebrity waves from a balcony,replace,replace: celebrity (model_score=-0.000067)
72,An actor stands beside a movie poster,replace,replace: actor (model_score=-0.000046)
73,A pedestrian chats with a taxi driver,replace,replace: pedestrian (model_score=-0.000065)
74,A child rides a horse at sunset,replace,replace: child (model_score=-0.000077)
75,A neighbor pets a cat at home,replace,replace: neighbor (model_score=-0.000055)
76,A child feeds pigeons in the square,replace,replace: child (model_score=-0.000059)
77,A child eats noodles at a stall,replace,replace: child (model_score=-0.000060)
78,Someone orders coffee at the counter,replace,replace: someone (model_score=-0.000060)
79,Someone pays at a grocery checkout,replace,replace: someone (model_score=-0.000047)
80,Tries on a gray suit,remove,remove: none (model_score=-0.000066)
81,A celebrity browses jackets in a boutique,replace,replace: celebrity (model_score=-0.000053)
82,A friend examines a watch under lights,replace,replace: friend (model_score=-0.000080)
83,An elderly person crosses a busy intersection,replace,replace: elderly person (model_score=-0.000044)
84,A guest waits for an elevator,replace,replace: guest (model_score=-0.000111)
85,A child walks a dog at dusk,replace,replace: child (model_score=-0.000085)
86,A relative chats beside a garden fence,replace,replace: relative (model_score=-0.000070)
87,A thing grills vegetables on a patio,replace,replace: thing (model_score=-0.000065)
88,A guest serves salad at a table,replace,replace: guest (model_score=-0.000073)
89,A relative wipes a window with a cloth,replace,replace: relative (model_score=-0.000052)
90,A man stands at a classroom door,replace,replace: man (model_score=-0.000093)
91,Someone writes notes on a whiteboard,remove,remove: none (model_score=-0.000056)
92,A manager hands papers to a colleague,replace,replace: manager (model_score=-0.000052)
93,An enthusiast reviews photos on a camera,replace,replace: enthusiast (model_score=-0.000054)
94,A groom adjusts a tie in a mirror,replace,replace: groom (model_score=-0.000047)
95,A commuter waits at a crosswalk signal,replace,replace: commuter (model_score=-0.000070)
96,Someone boards a bus in the rain,remove,remove: none (model_score=-0.000059)
97,A passenger steps from a yellow cab,replace,replace: passenger (model_score=-0.000107)
98,An athlete jogs beside a river path,replace,replace: athlete (model_score=-0.000061)
99,Someone stands in a newsroom,remove,remove: none (model_score=-0.000085)
100,Someone eats breakfast on a balcony,remove,remove: none (model_score=-0.000090)
