id,prompt,mapping_type,note
1,A pear sits on the plate.,replace,replace: pear (model_score=-0.003415)
2,A lemon rests on the windowsill.,replace,replace: lemon (model_score=-0.004147)
3,A candle lies on a wooden table.,replace,replace: candle (model_score=-0.001588)
4,A hand holds a banana.,replace,replace: banana (model_score=-0.002048)
5,A child eats a carrot.,replace,replace: carrot (model_score=-0.002237)
6,A lemon floats in the sink.,replace,replace: lemon (model_score=-0.001552)
7,A mango sits in a fruit bowl.,replace,replace: mango (model_score=-0.003432)
8,A tomato sits on a cutting board.,replace,replace: tomato (model_score=-0.002012)
9,A book rests under a desk lamp.,replace,replace: book (model_score=-0.002900)
10,A toy lies on a picnic blanket.,replace,replace: toy (model_score=-0.002815)
11,A fruit rests on fresh snow.,replace,replace: fruit (model_score=-0.002517)
12,A banana rests on a park bench.,replace,replace: banana (model_score=-0.003261)
13,A cookie sits beside a mug.,replace,replace: cookie (model_score=-0.004930)
14,A bell hangs from a branch.,replace,replace: bell (model_score=-0.001897)
15,A card rests on a grocery scale.,replace,replace: card (model_score=-0.003423)
16,A toy sits in a lunchbox.,replace,replace: toy (model_score=-0.003456)
17,An item rests on a classroom desk.,replace,replace: item (model_score=-0.001498)
18,A toy sits on a car dashboard.,replace,replace: toy (model_score=-0.005952)
19,A banana rests inside a clear bag.,replace,replace: banana (model_score=-0.002801)
20,A toy sits on wet grass.,replace,replace: toy (model_score=-0.001278)
21,A fruit rests on a metal tray.,replace,replace: fruit (model_score=-0.001635)
22,A fruit lies on a beach towel.,replace,replace: fruit (model_score=-0.002921)
23,A banana rests near a running faucet.,replace,replace: banana (model_score=-0.002079)
24,A toy balances on a book.,replace,replace: toy (model_score=-0.002233)
25,A coffee cup sits on a cafe table.,replace,replace: coffee cup (model_score=-0.001680)
26,A mango sits on a kitchen counter.,replace,replace: mango (model_score=-0.001981)
27,Two fruits rest on a white plate.,replace,replace: fruits (model_score=-0.002331)
28,A block rolls across the floor.,replace,replace: block (model_score=-0.002507)
29,A coffee cup rests beside a keyboard.,replace,replace: coffee cup (model_score=-0.002126)
30,A flower pot sits in a bicycle basket.,replace,replace: flower pot (model_score=-0.002099)
31,A pear rests on a stone wall.,replace,replace: pear (model_score=-0.002521)
32,A banana sits under a blue umbrella.,replace,replace: banana (model_score=-0.001855)
33,A banana rests near a sleeping cat.,replace,replace: banana (model_score=-0.002048)
34,A flower lies on a newspaper.,replace,replace: flower (model_score=-0.001657)
35,A tomato rests on a wooden stool.,replace,replace: tomato (model_score=-0.002951)
36,A banana sits in a clear bowl.,replace,replace: banana (model_score=-0.004271)
37,A banana rests on a picnic table.,replace,replace: banana (model_score=-0.001399)
38,A book sits on a bright napkin.,replace,replace: book (model_score=-0.004885)
39,A orange rests on a garden path.,replace,replace: orange (model_score=-0.002518)
40,A pumpkin sits in a market crate.,replace,replace: pumpkin (model_score=-0.003013)
41,A pear rests under morning sunlight.,replace,replace: pear (model_score=-0.005242)
42,A cherry hangs from a snowy branch.,replace,replace: cherry (model_score=-0.003183)
43,A cup rests on a city sidewalk.,replace,replace: cup (model_score=-0.001953)
44,A vegetable rests on a grill grate.,replace,replace: vegetable (model_score=-0.001313)
45,A toy lies on a paper towel.,replace,replace: toy (model_score=-0.002606)
46,An object sits on a studio table.,replace,replace: object (model_score=-0.003397)
47,A pacifier rests beside a baby.,replace,replace: pacifier (model_score=-0.002227)
48,An item sits on a fence post.,replace,replace: item (model_score=-0.002444)
49,Something rests on a boat deck.,remove,remove: none (model_score=-0.003715)
50,A bottle lies on a train seat.,replace,replace: bottle (model_score=-0.003047)
51,A flower rests on a stack of books.,replace,replace: flower (model_score=-0.002799)
52,A flower sits on a cafe saucer.,replace,replace: flower (model_score=-0.002291)
53,A thing floats near a pool ladder.,replace,replace: thing (model_score=-0.003791)
54,A kettle rests near a campfire.,replace,replace: kettle (model_score=-0.002387)
