id,prompt,mapping_type,note
1,A rabbit stands on a grassy hill,replace,replace: rabbit (model_score=-0.000156)
2,A rabbit sits on a wooden bench,replace,replace: rabbit (model_score=-0.000137)
3,An animal runs along a sandy beach,replace,replace: animal (model_score=-0.000237)
4,A rabbit holds a red balloon,replace,replace: rabbit (model_score=-0.000144)
5,A rabbit reads a book on sofa,replace,replace: rabbit (model_score=-0.000152)
6,A cat rides a bicycle down street,replace,replace: cat (model_score=-0.000142)
7,A rabbit watches city lights at night,replace,replace: rabbit (model_score=-0.000121)
8,A rabbit stands under a street lamp,replace,replace: rabbit (model_score=-0.000140)
9,A rabbit walks through light rain,replace,replace: rabbit (model_score=-0.000165)
10,A rabbit holds an umbrella in rain,replace,replace: rabbit (model_score=-0.000116)
11,A cat plays in fresh snow,replace,replace: cat (model_score=-0.000147)
12,A rabbit drinks water by fountain,replace,replace: rabbit (model_score=-0.000169)
13,A robot looks out a window,replace,replace: robot (model_score=-0.000154)
14,A fox sleeps on a pillow,replace,replace: fox (model_score=-0.000167)
15,A thing hugs a stuffed bear,replace,replace: thing (model_score=-0.000111)
16,A bear eats noodles at a table,replace,replace: bear (model_score=-0.000157)
17,A robot sings into a microphone,replace,replace: robot (model_score=-0.000260)
18,A rabbit skateboards in a park,replace,replace: rabbit (model_score=-0.000137)
19,An animal climbs a tree in forest,replace,replace: animal (model_score=-0.000149)
20,A robot sits on a bus seat,replace,replace: robot (model_score=-0.000171)
21,A rabbit waits at a bus stop,replace,replace: rabbit (model_score=-0.000163)
22,An animal buys fruit at market,replace,replace: animal (model_score=-0.000121)
23,A frog folds paper on a desk,replace,replace: frog (model_score=-0.000197)
24,A rabbit waters a small plant,replace,replace: rabbit (model_score=-0.000127)
25,"At the pond, ducks gather",remove,remove: none (model_score=-0.000168)
26,A bunny opens a mailbox,replace,replace: bunny (model_score=-0.000132)
27,A dinosaur plays guitar on stage,replace,replace: dinosaur (model_score=-0.000147)
28,A frog swims in a pool,replace,replace: frog (model_score=-0.000160)
29,A rabbit wears sunglasses on beach,replace,replace: rabbit (model_score=-0.000145)
30,A character waves from a balcony,replace,replace: character (model_score=-0.000145)
31,A rabbit counts coins on table,replace,replace: rabbit (model_score=-0.000114)
32,A bear draws with colored pencils,replace,replace: bear (model_score=-0.000160)
33,A rabbit drinks tea at cafe,replace,replace: rabbit (model_score=-0.000150)
34,A rabbit reads a map on trail,replace,replace: rabbit (model_score=-0.000111)
35,Takes a selfie with phone,remove,remove: none (model_score=-0.000223)
36,A rabbit throws a snowball,replace,replace: rabbit (model_score=-0.000153)
37,Builds a sandcastle,remove,remove: none (model_score=-0.000108)
38,A thing stands by a campfire,replace,replace: thing (model_score=-0.000124)
39,A cat roasts marshmallows at campfire,replace,replace: cat (model_score=-0.000128)
40,A bird rides a carousel horse,replace,replace: bird (model_score=-0.000133)
41,A horse repairs a flat tire,replace,replace: horse (model_score=-0.000240)
42,A rabbit repairs a flat tire,replace,replace: rabbit (model_score=-0.000202)
43,A rabbit jogs around a track,replace,replace: rabbit (model_score=-0.000175)
44,An animal stretches on a yoga mat,replace,replace: animal (model_score=-0.000201)
45,A bear lifts a small dumbbell,replace,replace: bear (model_score=-0.000150)
46,A cat checks a wristwatch,replace,replace: cat (model_score=-0.000141)
47,A rabbit ties shoelaces on sneakers,replace,replace: rabbit (model_score=-0.000235)
48,A rabbit repairs a flat tire,replace,replace: rabbit (model_score=-0.000181)
49,A bear holds a sleeping baby,replace,replace: bear (model_score=-0.000179)
50,A rabbit pushes a shopping cart,replace,replace: rabbit (model_score=-0.000160)
51,A rabbit chooses apples at grocery,replace,replace: rabbit (model_score=-0.000123)
52,A tree eats an ice cream cone,replace,replace: tree (model_score=-0.000135)
53,A thing pets a brown dog,replace,replace: thing (model_score=-0.000160)
54,An alien high fives a kid,replace,replace: alien (model_score=-0.000178)
55,A cat watches fireworks at night,replace,replace: cat (model_score=-0.000165)
56,A robot sits by a window,replace,replace: robot (model_score=-0.000157)
57,Waits in a clinic,remove,remove: none (model_score=-0.000177)
58,Stands in a library aisle,remove,remove: none (model_score=-0.000145)
59,A cat holds a bouquet of flowers,replace,replace: cat (model_score=-0.000170)
60,A bicycle sits on a train seat,replace,replace: bicycle (model_score=-0.000133)
61,A rabbit boards a red bus,replace,replace: rabbit (model_score=-0.000139)
62,A rabbit fixes a leaking faucet,replace,replace: rabbit (model_score=-0.000158)
63,A rabbit paints a fence white,replace,replace: rabbit (model_score=-0.000141)
64,A cat climbs a metal ladder,replace,replace: cat (model_score=-0.000234)
65,A rabbit flies a colorful kite,replace,replace: rabbit (model_score=-0.000124)
66,A rabbit takes photos with a camera,replace,replace: rabbit (model_score=-0.000182)
67,A bear carries a cardboard box,replace,replace: bear (model_score=-0.000180)
68,A cat sweeps leaves off the porch,replace,replace: cat (model_score=-0.000113)
69,A rabbit rakes leaves in the yard,replace,replace: rabbit (model_score=-0.000133)
70,A rabbit shovels snow from the steps,replace,replace: rabbit (model_score=-0.000133)
71,A squirrel washes a red car,replace,replace: squirrel (model_score=-0.000218)
72,A cat parks a bicycle by rack,replace,replace: cat (model_score=-0.000158)
73,Feeds a black cat,remove,remove: none (model_score=-0.000183)
74,A hedgehog visits a flower garden,replace,replace: hedgehog (model_score=-0.000135)
75,A plant smells a yellow tulip,replace,replace: plant (model_score=-0.000085)
76,Rests under a big tree,remove,remove: none (model_score=-0.000133)
77,An eagle looks at mountain view,replace,replace: eagle (model_score=-0.000184)
78,A cat points at a rainbow,replace,replace: cat (model_score=-0.000141)
79,A rabbit sits near a waterfall,replace,replace: rabbit (model_score=-0.000171)
80,A raccoon stands on a wooden bridge,replace,replace: raccoon (model_score=-0.000164)
81,Crosses a shallow stream,remove,remove: none (model_score=-0.000167)
82,A frog skips stones at lake,replace,replace: frog (model_score=-0.000154)
83,A rabbit rows a small boat,replace,replace: rabbit (model_score=-0.000142)
84,A bear wears a blue raincoat,replace,replace: bear (model_score=-0.000157)
85,A bird stacks books on shelf,replace,replace: bird (model_score=-0.000125)
86,A bear opens a wrapped gift,replace,replace: bear (model_score=-0.000172)
87,A cat writes notes in notebook,replace,replace: cat (model_score=-0.000160)
88,A thing plays soccer in park,replace,replace: thing (model_score=-0.000125)
89,A cat shoots hoops at court,replace,replace: cat (model_score=-0.000122)
90,A monkey rides a scooter downtown,replace,replace: monkey (model_score=-0.000189)
91,A rabbit waits at a crosswalk light,replace,replace: rabbit (model_score=-0.000143)
92,A raccoon checks a ticket at station,replace,replace: raccoon (model_score=-0.000135)
93,A hamster rides an escalator at mall,replace,replace: hamster (model_score=-0.000136)
94,A cat tries on a hat,replace,replace: cat (model_score=-0.000165)
95,A robot orders coffee at counter,replace,replace: robot (model_score=-0.000136)
96,A bicycle pays cash at register,replace,replace: bicycle (model_score=-0.000157)
97,A bicycle scans items at checkout,replace,replace: bicycle (model_score=-0.000126)
98,A cat waits for pizza delivery,replace,replace: cat (model_score=-0.000127)
99,A thing shares fries with friend,replace,replace: thing (model_score=-0.000100)
100,A rabbit plays cards at table,replace,replace: rabbit (model_score=-0.000146)
