id,prompt,mapping_type,note
1,A soccer player dribbles past a defender,replace,replace: soccer player (model_score=-0.001826)
2,A player takes a free kick,replace,replace: player (model_score=-0.002283)
3,A fan celebrates with raised arms,replace,replace: fan (model_score=-0.002941)
4,The player prepares for the game,remove,remove: none (model_score=-0.003520)
5,A referee heads the ball,replace,replace: referee (model_score=-0.000915)
6,The players engage in a friendly match,remove,remove: none (model_score=-0.005225)
7,A player shoots from outside the box,replace,replace: player (model_score=-0.003301)
8,A player jogs during warmups,replace,replace: player (model_score=-0.006906)
9,A player drinks water on sideline,replace,replace: player (model_score=-0.003088)
10,A player stretches on the grass,replace,replace: player (model_score=-0.005610)
11,A footballer waves to the crowd,replace,replace: footballer (model_score=-0.001306)
12,A celebrity signs a fan jersey,replace,replace: celebrity (model_score=-0.000898)
13,A footballer hugs a teammate,replace,replace: footballer (model_score=-0.004221)
14,A fan talks to the referee,replace,replace: fan (model_score=-0.001275)
15,A fan sits on the bench,replace,replace: fan (model_score=-0.001180)
16,A player checks his phone,replace,replace: player (model_score=-0.002926)
17,A fan lifts a golden trophy,replace,replace: fan (model_score=-0.001208)
18,A footballer kisses the trophy,replace,replace: footballer (model_score=-0.003549)
19,A celebrity juggles a soccer ball,replace,replace: celebrity (model_score=-0.001753)
20,A player lines up a corner,replace,replace: player (model_score=-0.005969)
21,A player takes a penalty kick,replace,replace: player (model_score=-0.001146)
22,A striker receives a pass,replace,replace: striker (model_score=-0.002689)
23,A talented player controls the ball calmly,replace,replace: talented player (model_score=-0.003092)
24,A fan points toward the goal,replace,replace: fan (model_score=-0.004582)
25,A coach smiles during training,replace,replace: coach (model_score=-0.003145)
26,A player adjusts his captain armband,replace,replace: player (model_score=-0.002833)
27,A player runs under stadium lights,replace,replace: player (model_score=-0.000967)
28,A striker sprints down the wing,replace,replace: striker (model_score=-0.004500)
29,A teammate crosses into the box,replace,replace: teammate (model_score=-0.002936)
30,A defender shields the ball,replace,replace: defender (model_score=-0.002240)
31,An athlete argues a foul call,replace,replace: athlete (model_score=-0.003232)
32,A midfielder warms up with cones,replace,replace: midfielder (model_score=-0.001692)
33,An athlete balances on one leg,replace,replace: athlete (model_score=-0.001568)
34,An official applauds the supporters,replace,replace: official (model_score=-0.003762)
35,A player gives a press interview,replace,replace: player (model_score=-0.001765)
36,An actor wears a suit onstage,replace,replace: actor (model_score=-0.002659)
37,A manager boards the team bus,replace,replace: manager (model_score=-0.002666)
38,A coach walks through the tunnel,replace,replace: coach (model_score=-0.003146)
39,A referee scans the empty stands,replace,replace: referee (model_score=-0.006705)
40,A fan signs a match ball,replace,replace: fan (model_score=-0.004156)
41,A referee tapes his ankle,replace,replace: referee (model_score=-0.002271)
42,A teammate adjusts his shin guards,replace,replace: teammate (model_score=-0.002929)
43,A footballer wraps a jacket around himself,replace,replace: footballer (model_score=-0.002367)
44,A footballer stands in the rain,replace,replace: footballer (model_score=-0.001752)
45,A teammate plays soccer on the beach,replace,replace: teammate (model_score=-0.001483)
46,A footballer trains in the gym,replace,replace: footballer (model_score=-0.002287)
47,An athlete lifts weights carefully,replace,replace: athlete (model_score=-0.002987)
48,A footballer does planks on mat,replace,replace: footballer (model_score=-0.003487)
49,A footballer stretches his hamstrings,replace,replace: footballer (model_score=-0.001985)
50,A teammate rides a stationary bike,replace,replace: teammate (model_score=-0.001826)
51,Jogging takes place on a treadmill,remove,remove: none (model_score=-0.002086)
52,A soccer team takes a team photo,replace,replace: soccer team (model_score=-0.001143)
53,A comedian shares a laugh,replace,replace: comedian (model_score=-0.004107)
54,A coach signs autographs for kids,replace,replace: coach (model_score=-0.003487)
55,An actor takes a selfie with fans,replace,replace: actor (model_score=-0.002416)
56,A person waves from a balcony,replace,replace: person (model_score=-0.001927)
57,A family member sits at a cafe,replace,replace: family member (model_score=-0.003016)
58,A neighbor cooks pasta at home,replace,replace: neighbor (model_score=-0.003104)
59,A chef chops vegetables in kitchen,replace,replace: chef (model_score=-0.002124)
60,An author reads a hardcover book,replace,replace: author (model_score=-0.003506)
61,A teenager plays video games,replace,replace: teenager (model_score=-0.002406)
62,A person waters plants on balcony,replace,replace: person (model_score=-0.002609)
63,A person walks his dog,replace,replace: person (model_score=-0.003914)
64,A neighbor shops for groceries,replace,replace: neighbor (model_score=-0.003480)
65,A child chooses fresh fruit,replace,replace: child (model_score=-0.004215)
66,A neighbor pushes a shopping cart,replace,replace: neighbor (model_score=-0.002059)
67,An adult waits at a crosswalk,replace,replace: adult (model_score=-0.002828)
68,A man opens a car door,replace,replace: man (model_score=-0.001724)
69,A woman steps out of car,replace,replace: woman (model_score=-0.003227)
70,A businessman ties a necktie,replace,replace: businessman (model_score=-0.002674)
71,A player buttons up his shirt,replace,replace: player (model_score=-0.003337)
72,A musician poses with a trophy,replace,replace: musician (model_score=-0.004057)
73,A politician speaks on a stage,replace,replace: politician (model_score=-0.004532)
74,A friend laughs at a joke,replace,replace: friend (model_score=-0.003389)
75,An athlete signs a magazine cover,replace,replace: athlete (model_score=-0.001832)
76,A fan tapes a poster,replace,replace: fan (model_score=-0.002155)
77,A coach poses with a trophy,replace,replace: coach (model_score=-0.004364)
78,A participant donates gear at a charity event,replace,replace: participant (model_score=-0.002220)
79,A footballer poses with a trophy,replace,replace: footballer (model_score=-0.004855)
80,A player signs a new contract,replace,replace: player (model_score=-0.003276)
81,A sports figure reviews a play on a tablet,replace,replace: sports figure (model_score=-0.001354)
82,A celebrity watches from the stands,replace,replace: celebrity (model_score=-0.001866)
83,A couple enjoys a family dinner,replace,replace: couple (model_score=-0.002775)
84,A friend drinks coffee by window,replace,replace: friend (model_score=-0.001792)
85,A model wears sunglasses outdoors,replace,replace: model (model_score=-0.004408)
86,A traveler wears a hoodie at airport,replace,replace: traveler (model_score=-0.006950)
87,A colleague arrives at the airport,replace,replace: colleague (model_score=-0.002620)
88,A passenger pulls a suitcase,replace,replace: passenger (model_score=-0.003922)
89,An official waits at baggage claim,replace,replace: official (model_score=-0.001923)
90,A passenger scans a boarding pass,replace,replace: passenger (model_score=-0.003443)
91,A celebrity greets airport staff,replace,replace: celebrity (model_score=-0.002147)
92,A celebrity signs a soccer ball,replace,replace: celebrity (model_score=-0.004548)
93,A gymnast tapes his wrists,replace,replace: gymnast (model_score=-0.004306)
94,A player massages his calf,replace,replace: player (model_score=-0.002541)
95,An athlete stretches with a band,replace,replace: athlete (model_score=-0.002292)
96,An athlete places cones on grass,replace,replace: athlete (model_score=-0.002595)
97,A coach studies tactics on whiteboard,replace,replace: coach (model_score=-0.002988)
98,A fan shakes hands with coach,replace,replace: fan (model_score=-0.001944)
99,A leader thanks the home crowd,replace,replace: leader (model_score=-0.004857)
100,A referee prays before kickoff,replace,replace: referee (model_score=-0.002886)
