id,prompt
1,Spiderman stands on a rooftop
2,Spiderman swings between tall buildings
3,Spiderman climbs a brick wall
4,Spiderman crouches on a city ledge
5,Spiderman runs across a rooftop
6,Spiderman sits on a fire escape
7,Spiderman rests on a balcony
8,Spiderman peers through a window
9,Spiderman waves to a crowd below
10,Spiderman helps a tourist with directions
11,Spiderman carries a grocery bag
12,Spiderman drinks coffee on a bench
13,Spiderman reads a map on street
14,Spiderman ties a boot on steps
15,Spiderman takes a selfie on rooftop
16,Spiderman rides a bicycle downtown
17,Spiderman jogs along a river path
18,Spiderman stretches before a rooftop run
19,Spiderman fixes a torn glove
20,Spiderman cleans his mask with cloth
21,Spiderman holds an umbrella in rain
22,Spiderman waits at a crosswalk light
23,Spiderman checks a wristwatch on street
24,Spiderman opens a door to cafe
25,Spiderman buys snacks at a kiosk
26,Spiderman feeds pigeons in the square
27,Spiderman sits under a tree shade
28,Spiderman skates on a city plaza
29,Spiderman plays soccer with kids
30,Spiderman tosses a frisbee in park
31,Spiderman reads a book in library
32,Spiderman uses a laptop at desk
33,Spiderman stands in an elevator
34,Spiderman waits on a subway platform
35,Spiderman boards a bus calmly
36,Spiderman holds balloons for children
37,Spiderman signs autographs for fans
38,Spiderman poses with tourists for photos
39,Spiderman adjusts a backpack strap
40,Spiderman repairs a bike tire
41,Spiderman waters plants on balcony
42,Spiderman folds laundry in apartment
43,Spiderman cooks pasta in a kitchen
44,Spiderman washes dishes at the sink
45,Spiderman sweeps the apartment floor
46,Spiderman opens a window for air
47,Spiderman looks out over the city
48,Spiderman watches birds from rooftop
49,Spiderman practices yoga on a mat
50,Spiderman meditates on a quiet roof
51,Spiderman does pushups beside a bench
52,Spiderman skips rope in a gym
53,Spiderman lifts a kettlebell in gym
54,Spiderman balances on a balance beam
55,Spiderman does a handstand by the wall
56,Spiderman stretches hamstrings on steps
57,Spiderman wraps hands with athletic tape
58,Spiderman changes a light bulb inside
59,Spiderman fixes a leaky faucet
60,Spiderman checks a mailbox in lobby
61,Spiderman collects a package at door
62,Spiderman decorates a small Christmas tree
63,Spiderman hangs lights on the balcony
64,Spiderman sets a table for dinner
65,Spiderman eats pizza on the couch
66,Spiderman drinks water after a run
67,Spiderman naps on a living room sofa
68,Spiderman watches a movie on TV
69,Spiderman plays a video game console
70,Spiderman listens to music with headphones
71,Spiderman calls a friend on phone
72,Spiderman paints a small canvas art
73,Spiderman draws in a sketchbook
74,Spiderman writes notes in a notebook
75,Spiderman takes out trash at night
76,Spiderman recycles bottles in bin
77,Spiderman mops the kitchen floor
78,Spiderman vacuums a rug in living room
79,Spiderman folds a blanket neatly
80,Spiderman opens a fridge to snack
81,Spiderman picks apples at a farm
82,Spiderman stands in light snowfall
83,Spiderman walks in gentle rain
84,Spiderman shields eyes from bright sun
85,Spiderman stands under a street lamp
86,Spiderman watches fireworks at night
87,Spiderman admires a city skyline
88,Spiderman sits by a campfire at dusk
89,Spiderman paddles a kayak on lake
90,Spiderman climbs a tree in park
91,Spiderman pets a dog on sidewalk
92,Spiderman hands water to a runner
93,Spiderman shops for fruit at market
94,Spiderman waits in line at bakery
95,Spiderman pays cash at a counter
96,Spiderman tries on sunglasses in store
97,Spiderman reads news on a phone
98,Spiderman crosses a quiet residential street
99,Spiderman leans on a brick wall
100,Spiderman smiles for a street photographer
