id,prompt,mapping_type,note
1,A tennis ball on short grass.,replace,replace: tennis ball (model_score=-0.000063)
2,A tennis ball sitting on a tee.,replace,replace: tennis ball (model_score=-0.000063)
3,A tennis ball in a sand bunker.,replace,replace: tennis ball (model_score=-0.000041)
4,A tennis ball near the hole flag.,replace,replace: tennis ball (model_score=-0.000048)
5,A tennis ball on a putting green.,replace,replace: tennis ball (model_score=-0.000035)
6,A tennis ball rolling down a slope.,replace,replace: tennis ball (model_score=-0.000064)
7,A tennis ball beside a putter.,replace,replace: tennis ball (model_score=-0.000052)
8,A tennis ball on a wooden table.,replace,replace: tennis ball (model_score=-0.000059)
9,A shell in a glass bowl.,replace,replace: shell (model_score=-0.000092)
10,A rock on a windowsill.,replace,replace: rock (model_score=-0.000091)
11,A rubber ball under a park bench.,replace,replace: rubber ball (model_score=-0.000038)
12,A tennis ball in a water puddle.,replace,replace: tennis ball (model_score=-0.000079)
13,A basketball on a driveway.,replace,replace: basketball (model_score=-0.000126)
14,An item on a kitchen counter.,replace,replace: item (model_score=-0.000108)
15,An object on a laptop keyboard.,replace,replace: object (model_score=-0.000115)
16,A lamp under a desk lamp.,replace,replace: lamp (model_score=-0.000098)
17,An object on a car dashboard.,replace,replace: object (model_score=-0.000085)
18,A small ball in a shoe.,replace,replace: small ball (model_score=-0.000053)
19,A toy on carpet.,replace,replace: toy (model_score=-0.000139)
20,A jar inside a clear jar.,replace,replace: jar (model_score=-0.000067)
21,A snowball in fresh snow.,replace,replace: snowball (model_score=-0.000061)
22,A tennis ball among autumn leaves.,replace,replace: tennis ball (model_score=-0.000050)
23,A tennis ball on dry dirt.,replace,replace: tennis ball (model_score=-0.000050)
24,A soccer ball in tall grass.,replace,replace: soccer ball (model_score=-0.000047)
25,A tennis ball by a garden hose.,replace,replace: tennis ball (model_score=-0.000063)
26,A tennis ball near a sprinkler head.,replace,replace: tennis ball (model_score=-0.000045)
27,A tennis ball on a picnic table.,replace,replace: tennis ball (model_score=-0.000051)
28,A tennis ball under a leafy bush.,replace,replace: tennis ball (model_score=-0.000042)
29,A tennis ball on cracked pavement.,replace,replace: tennis ball (model_score=-0.000067)
30,A tennis ball on a beach towel.,replace,replace: tennis ball (model_score=-0.000061)
31,A seashell in soft sand.,replace,replace: seashell (model_score=-0.000056)
32,A seashell near seashells.,replace,replace: seashell (model_score=-0.000040)
33,A small sculpture on a window ledge.,replace,replace: small sculpture (model_score=-0.000114)
34,A cereal in a cereal bowl.,replace,replace: cereal (model_score=-0.000060)
35,An object next to a mug.,replace,replace: object (model_score=-0.000073)
36,A pen on a book.,replace,replace: pen (model_score=-0.000099)
37,A cup beside a TV remote.,replace,replace: cup (model_score=-0.000062)
38,A ball under a couch.,replace,replace: ball (model_score=-0.000049)
39,An object on a doormat.,replace,replace: object (model_score=-0.000152)
40,A cup on a staircase step.,replace,replace: cup (model_score=-0.000104)
41,A tennis ball under a dining chair.,replace,replace: tennis ball (model_score=-0.000036)
42,A bowl on a cutting board.,replace,replace: bowl (model_score=-0.000097)
43,A bowl near a kitchen sink.,replace,replace: bowl (model_score=-0.000084)
44,A yogurt inside a fridge drawer.,replace,replace: yogurt (model_score=-0.000111)
45,A small mirror in a bathroom sink.,replace,replace: small mirror (model_score=-0.000085)
46,An object on a tiled floor.,replace,replace: object (model_score=-0.000088)
47,A hat under a coat rack.,replace,replace: hat (model_score=-0.000100)
48,A pen in a backpack pocket.,replace,replace: pen (model_score=-0.000098)
49,An object on a school desk.,replace,replace: object (model_score=-0.000101)
50,A pen in a pencil holder.,replace,replace: pen (model_score=-0.000074)
51,A tennis ball on a white plate.,replace,replace: tennis ball (model_score=-0.000067)
52,A soccer ball under a tree.,replace,replace: soccer ball (model_score=-0.000087)
53,An object beside a bicycle tire.,replace,replace: object (model_score=-0.000073)
54,A toy near a mailbox.,replace,replace: toy (model_score=-0.000102)
55,A soccer ball on a park path.,replace,replace: soccer ball (model_score=-0.000091)
56,A cup on a balcony railing.,replace,replace: cup (model_score=-0.000083)
57,A glass on a windowsill at night.,replace,replace: glass (model_score=-0.000133)
58,A lantern under streetlight at night.,replace,replace: lantern (model_score=-0.000109)
59,An object on wet pavement.,replace,replace: object (model_score=-0.000127)
60,A cup under a rainy umbrella.,replace,replace: cup (model_score=-0.000081)
61,A tennis ball on a sunny patio.,replace,replace: tennis ball (model_score=-0.000061)
62,A baseball by a window.,replace,replace: baseball (model_score=-0.000057)
63,An object on a metal shelf.,replace,replace: object (model_score=-0.000165)
64,A pen between two books.,replace,replace: pen (model_score=-0.000113)
65,A thing near a flower pot.,replace,replace: thing (model_score=-0.000088)
66,A shoe on a welcome mat.,replace,replace: shoe (model_score=-0.000211)
67,An object under a coffee table.,replace,replace: object (model_score=-0.000106)
68,A ball at a driving range.,replace,replace: ball (model_score=-0.000025)
69,A soccer ball on an artificial mat.,replace,replace: soccer ball (model_score=-0.000128)
70,A golf tee beside a golf hole.,replace,replace: golf tee (model_score=-0.000048)
71,A tennis ball near a scorecard.,replace,replace: tennis ball (model_score=-0.000045)
72,A tennis ball next to tees.,replace,replace: tennis ball (model_score=-0.000063)
73,A cricket ball in a glove.,replace,replace: cricket ball (model_score=-0.000062)
74,A tennis ball by a flagstick.,replace,replace: tennis ball (model_score=-0.000036)
75,A tennis ball on a fairway.,replace,replace: tennis ball (model_score=-0.000046)
76,A baseball stuck in mud.,replace,replace: baseball (model_score=-0.000051)
77,A baseball under fallen branches.,replace,replace: baseball (model_score=-0.000043)
78,A baseball on a fallen log.,replace,replace: baseball (model_score=-0.000046)
79,A baseball by a water hazard.,replace,replace: baseball (model_score=-0.000040)
80,A cricket ball on a cart seat.,replace,replace: cricket ball (model_score=-0.000077)
81,A tennis ball on a practice green.,replace,replace: tennis ball (model_score=-0.000049)
82,A baseball near a range bucket.,replace,replace: baseball (model_score=-0.000080)
83,A small mound with a shell.,replace,replace: shell (model_score=-0.000064)
84,A ball under a fence.,replace,replace: ball (model_score=-0.000045)
85,A rubber ball in a dog bowl.,replace,replace: rubber ball (model_score=-0.000056)
86,A hat on a lounge chair.,replace,replace: hat (model_score=-0.000099)
87,A bottle of water on a picnic blanket.,replace,replace: bottle of water (model_score=-0.000131)
88,A marshmallow near a campfire.,replace,replace: marshmallow (model_score=-0.000071)
89,A pen on a chessboard.,replace,replace: pen (model_score=-0.000069)
90,A shell beside a candle.,replace,replace: shell (model_score=-0.000073)
91,A rubber ball near a wristwatch.,replace,replace: rubber ball (model_score=-0.000046)
92,A tennis ball on a map.,replace,replace: tennis ball (model_score=-0.000045)
93,A tennis ball in a cardboard box.,replace,replace: tennis ball (model_score=-0.000085)
94,A tennis ball inside a mailbox.,replace,replace: tennis ball (model_score=-0.000070)
95,A tennis ball on a tree stump.,replace,replace: tennis ball (model_score=-0.000041)
96,A tennis ball under a porch step.,replace,replace: tennis ball (model_score=-0.000069)
97,A tennis ball near a watering can.,replace,replace: tennis ball (model_score=-0.000072)
98,A tennis ball next to a rake.,replace,replace: tennis ball (model_score=-0.000062)
