id,prompt,mapping_type,note
1,A sunflower field in expressionist style,replace,replace: expressionist style (model_score=-0.000026)
2,A red barn in folk art style,replace,replace: folk art style (model_score=-0.000063)
3,A city street in artistic style,replace,replace: artistic style (model_score=-0.000062)
4,A night cafe in artistic theme,replace,replace: artistic theme (model_score=-0.000065)
5,A starry sky in magical scene,replace,replace: magical scene (model_score=-0.000071)
6,A small boat in lively harbor,replace,replace: lively harbor (model_score=-0.000073)
7,A windmill by canal in landscape scene,replace,replace: landscape scene (model_score=-0.000038)
8,A lighthouse by sea in whimsical style,replace,replace: whimsical style (model_score=-0.000069)
9,A mountain lake in nature scene,replace,replace: nature scene (model_score=-0.000077)
10,A forest path in dappled light,replace,replace: dappled light (model_score=-0.000072)
11,A desert road in impressionist style,replace,replace: impressionist style (model_score=-0.000056)
12,A rainy street in impressionist style,replace,replace: impressionist style (model_score=-0.000049)
13,A snowman outside in impressionist style,replace,replace: impressionist style (model_score=-0.000048)
14,A pumpkin patch in impressionist style,replace,replace: impressionist style (model_score=-0.000052)
15,A home kitchen in impressionist style,replace,replace: impressionist style (model_score=-0.000050)
16,A dining table in impressionist style,replace,replace: impressionist style (model_score=-0.000073)
17,A coffee mug in impressionist style,replace,replace: impressionist style (model_score=-0.000049)
18,A loaf of bread in impressionist style,replace,replace: impressionist style (model_score=-0.000052)
19,A bowl of apples in artistic style,replace,replace: artistic style (model_score=-0.000043)
20,A vase of tulips in impressionist style,replace,replace: impressionist style (model_score=-0.000047)
21,A pair of shoes in impressionist style,replace,replace: impressionist style (model_score=-0.000048)
22,A blue bicycle in impressionist style,replace,replace: impressionist style (model_score=-0.000038)
23,A parked taxi in an artistic style,replace,replace: artistic style (model_score=-0.000051)
24,A train station in impressionist style,replace,replace: impressionist style (model_score=-0.000040)
25,A streetcar in impressionist style,replace,replace: impressionist style (model_score=-0.000055)
26,A bridge over river in impressionist style,replace,replace: impressionist style (model_score=-0.000045)
27,A city skyline at night in an artistic style,replace,replace: artistic style (model_score=-0.000048)
28,Fireworks over river in surrealistic style,replace,replace: surrealistic style (model_score=-0.000046)
29,A beach at sunset in an artistic style,replace,replace: artistic style (model_score=-0.000049)
30,A surfer on wave in modern art,replace,replace: modern art (model_score=-0.000066)
31,A sailboat on water in Impressionist style,replace,replace: Impressionist style (model_score=-0.000049)
32,A pier at dusk in Impressionist style,replace,replace: Impressionist style (model_score=-0.000052)
33,A campfire at night in Impressionist style,replace,replace: Impressionist style (model_score=-0.000053)
34,Northern lights in Impressionist style,replace,replace: Impressionist style (model_score=-0.000060)
35,A waterfall in forest in Impressionist style,replace,replace: Impressionist style (model_score=-0.000046)
36,A garden gate in Impressionist style,replace,replace: Impressionist style (model_score=-0.000053)
37,A stone cottage in Impressionist style,replace,replace: Impressionist style (model_score=-0.000043)
38,A castle on hill in Impressionist style,replace,replace: Impressionist style (model_score=-0.000036)
39,A temple courtyard in Impressionist style,replace,replace: Impressionist style (model_score=-0.000036)
40,A market street in Impressionist style,replace,replace: Impressionist style (model_score=-0.000043)
41,A fruit stand in impressionist style,replace,replace: impressionist style (model_score=-0.000035)
42,A baker icing cake in whimsical style,replace,replace: whimsical style (model_score=-0.000104)
43,A chef at stove in eclectic style,replace,replace: eclectic style (model_score=-0.000077)
44,A barista pouring coffee in artistic style,replace,replace: artistic style (model_score=-0.000062)
45,A teacher at chalkboard in lively style,replace,replace: lively style (model_score=-0.000049)
46,A reader in library in charming style,replace,replace: charming style (model_score=-0.000068)
47,A child flying kite in lovely weather,replace,replace: lovely weather (model_score=-0.000098)
48,A couple under umbrellas in pleasant weather,replace,replace: pleasant weather (model_score=-0.000078)
49,A cyclist on trail in scenic landscape,replace,replace: scenic landscape (model_score=-0.000078)
50,A hiker on bridge,remove,remove: none (model_score=-0.000120)
51,A runner on sidewalk in collage style,replace,replace: collage style (model_score=-0.000049)
52,A dancer in studio in impressionist style,replace,replace: impressionist style (model_score=-0.000066)
53,A drummer on stage in graffiti style,replace,replace: graffiti style (model_score=-0.000045)
54,A singer with microphone in graffiti style,replace,replace: graffiti style (model_score=-0.000075)
55,A guitarist on stool in impressionist style,replace,replace: impressionist style (model_score=-0.000043)
56,A pianist on stage in collage style,replace,replace: collage style (model_score=-0.000056)
57,A painter at easel in impressionist style,replace,replace: impressionist style (model_score=-0.000038)
58,A photographer by lake in watercolor style,replace,replace: watercolor style (model_score=-0.000053)
59,A busker playing guitar in graffiti style,replace,replace: graffiti style (model_score=-0.000053)
60,A vendor selling fruit in impressionist style,replace,replace: impressionist style (model_score=-0.000027)
61,A shopper with cart in impressionist style,replace,replace: impressionist style (model_score=-0.000046)
62,A barber cutting hair in impressionist style,replace,replace: impressionist style (model_score=-0.000055)
63,A doctor with stethoscope in impressionist style,replace,replace: impressionist style (model_score=-0.000057)
64,A firefighter by truck in art,replace,replace: art (model_score=-0.000048)
65,An officer directing traffic in art,replace,replace: art (model_score=-0.000045)
66,A construction worker with shovel in art,replace,replace: art (model_score=-0.000051)
67,A mail carrier with packages in impressionist style,replace,replace: impressionist style (model_score=-0.000051)
68,A farmer picking apples in art,replace,replace: art (model_score=-0.000050)
69,A gardener watering plants in art,replace,replace: art (model_score=-0.000053)
70,A hound fetching stick in impressionist style,replace,replace: impressionist style (model_score=-0.000064)
71,A cat on windowsill in impressionist style,replace,replace: impressionist style (model_score=-0.000052)
72,A horse in meadow in modern art,replace,replace: modern art (model_score=-0.000048)
73,A cow by fence in surrealistic art,replace,replace: surrealistic art (model_score=-0.000048)
74,Sheep on a hill in modern art,replace,replace: modern art (model_score=-0.000052)
75,Ducks on a pond in surrealistic art,replace,replace: surrealistic art (model_score=-0.000050)
76,A bird on branch in modern art,replace,replace: modern art (model_score=-0.000040)
77,A fox in clearing in modern art,replace,replace: modern art (model_score=-0.000041)
78,A deer near stream in impressionist style,replace,replace: impressionist style (model_score=-0.000040)
79,A rabbit in garden in surrealistic art,replace,replace: surrealistic art (model_score=-0.000043)
80,A turtle on log in impressionist style,replace,replace: impressionist style (model_score=-0.000045)
81,A butterfly on flower in pop art style,replace,replace: pop art style (model_score=-0.000052)
82,A bouquet on table in impressionist style,replace,replace: impressionist style (model_score=-0.000040)
83,A candle on table in impressionist style,replace,replace: impressionist style (model_score=-0.000052)
84,A lantern by door in impressionist style,replace,replace: impressionist style (model_score=-0.000033)
85,A clock on wall in impressionist style,replace,replace: impressionist style (model_score=-0.000047)
86,A violin on table in impressionist style,replace,replace: impressionist style (model_score=-0.000037)
87,A guitar on chair in impressionist style,replace,replace: impressionist style (model_score=-0.000037)
88,A camera on tripod in impressionist style,replace,replace: impressionist style (model_score=-0.000056)
89,A laptop on desk in impressionist style,replace,replace: impressionist style (model_score=-0.000075)
90,Glasses on a book in impressionist style,replace,replace: impressionist style (model_score=-0.000051)
91,A book open on desk in impressionist style,replace,replace: impressionist style (model_score=-0.000037)
92,A pizza on peel in abstract style,replace,replace: abstract style (model_score=-0.000064)
93,A burger on plate in artistic style,replace,replace: artistic style (model_score=-0.000053)
94,A salad in bowl in colorful style,replace,replace: colorful style (model_score=-0.000074)
95,A wine bottle on table in artistic style,replace,replace: artistic style (model_score=-0.000082)
96,A teapot on stove in artistic style,replace,replace: artistic style (model_score=-0.000081)
97,A frying pan on burner in artistic style,replace,replace: artistic style (model_score=-0.000061)
98,A soccer match in park in lively style,replace,replace: lively style (model_score=-0.000056)
99,A basketball game in gym in lively style,replace,replace: lively style (model_score=-0.000062)
100,A tennis serve in court in lively style,replace,replace: lively style (model_score=-0.000060)
