id,prompt
1,A dog in Cartoon Style plays fetch
2,A cat in Cartoon Style naps inside
3,A boy in Cartoon Style rides bicycle
4,A girl in Cartoon Style reads a book
5,A chef in Cartoon Style chops vegetables
6,A runner in Cartoon Style ties shoes
7,A painter in Cartoon Style holds brush
8,A teacher in Cartoon Style writes on board
9,A cyclist in Cartoon Style fixes a tire
10,A swimmer in Cartoon Style adjusts goggles
11,A dancer in Cartoon Style stretches backstage
12,A hiker in Cartoon Style drinks water
13,A gamer in Cartoon Style holds controller
14,A baker in Cartoon Style kneads dough
15,A barista in Cartoon Style steams milk
16,A shopper in Cartoon Style carries bags
17,A driver in Cartoon Style washes car
18,A mechanic in Cartoon Style checks engine
19,A student in Cartoon Style opens locker
20,A child in Cartoon Style feeds ducks
21,A violinist in Cartoon Style tunes strings
22,A drummer in Cartoon Style plays loudly
23,A singer in Cartoon Style tests microphone
24,A photographer in Cartoon Style adjusts lens
25,A tourist in Cartoon Style studies map
26,A gardener in Cartoon Style waters plants
27,A nurse in Cartoon Style checks pulse
28,A doctor in Cartoon Style reads chart
29,A lifeguard in Cartoon Style scans water
30,A firefighter in Cartoon Style holds hose
31,A police officer in Cartoon Style directs traffic
32,A pilot in Cartoon Style checks instruments
33,A flight attendant in Cartoon Style pours drinks
34,A sailor in Cartoon Style ties rope
35,A fisher in Cartoon Style casts line
36,A farmer in Cartoon Style holds a chicken
37,A butcher in Cartoon Style arranges sausages
38,A grocer in Cartoon Style stacks apples
39,A vendor in Cartoon Style counts cash
40,A librarian in Cartoon Style scans books
41,A cashier in Cartoon Style bags groceries
42,A waiter in Cartoon Style serves soup
43,A cook in Cartoon Style flips pancakes
44,A surfer in Cartoon Style waxes board
45,A skater in Cartoon Style tightens laces
46,A skier in Cartoon Style holds poles
47,A snowboarder in Cartoon Style adjusts bindings
48,A climber in Cartoon Style checks harness
49,A soccer player in Cartoon Style juggles ball
50,A tennis player in Cartoon Style swings racket
51,A baseball player in Cartoon Style catches ball
52,A basketball player in Cartoon Style dribbles slowly
53,A goalie in Cartoon Style dives sideways
54,A referee in Cartoon Style blows whistle
55,A coach in Cartoon Style talks strategy
56,A scientist in Cartoon Style holds beaker
57,A programmer in Cartoon Style types quickly
58,A writer in Cartoon Style signs books
59,A painter in Cartoon Style cleans palette
60,A sculptor in Cartoon Style chisels stone
61,A potter in Cartoon Style shapes clay
62,A tailor in Cartoon Style measures fabric
63,A seamstress in Cartoon Style threads needle
64,A jeweler in Cartoon Style examines ring
65,A barber in Cartoon Style trims beard
66,A hairdresser in Cartoon Style curls hair
67,A makeup artist in Cartoon Style applies blush
68,A model in Cartoon Style poses confidently
69,A teacher in Cartoon Style grades papers
70,A student in Cartoon Style raises hand
71,A child in Cartoon Style builds blocks
72,A baby in Cartoon Style sleeps peacefully
73,A mother in Cartoon Style hugs child
74,A father in Cartoon Style ties a tie
75,A couple in Cartoon Style walks together
76,Two friends in Cartoon Style share pizza
77,A family in Cartoon Style eats dinner
78,A group in Cartoon Style plays cards
79,A crowd in Cartoon Style watches parade
80,A monk in Cartoon Style sweeps courtyard
81,A clerk in Cartoon Style stamps forms
82,A mail carrier in Cartoon Style sorts letters
83,A delivery driver in Cartoon Style lifts box
84,A construction worker in Cartoon Style carries wood
85,An architect in Cartoon Style reviews plans
86,A manager in Cartoon Style checks schedule
87,An office worker in Cartoon Style makes coffee
88,A reporter in Cartoon Style interviews someone
89,A tourist in Cartoon Style takes a selfie
90,A camper in Cartoon Style lights lantern
91,A child in Cartoon Style draws a house
92,A cat in Cartoon Style chases a feather
93,A dog in Cartoon Style chews a shoe
94,A horse in Cartoon Style grazes quietly
95,A cow in Cartoon Style stands in meadow
96,A fox in Cartoon Style peeks from bushes
97,A bird in Cartoon Style perches on fence
98,A fish in Cartoon Style swims near rocks
99,A robot in Cartoon Style waves hello
100,A teddy bear in Cartoon Style sits on bed
