id,prompt
1,Pikachu stands on a grassy hill
2,Pikachu sits on a wooden bench
3,Pikachu runs along a sandy beach
4,Pikachu holds a red balloon
5,Pikachu reads a book on sofa
6,Pikachu rides a bicycle down street
7,Pikachu watches city lights at night
8,Pikachu stands under a street lamp
9,Pikachu walks through light rain
10,Pikachu holds an umbrella in rain
11,Pikachu plays in fresh snow
12,Pikachu drinks water by fountain
13,Pikachu looks out a window
14,Pikachu sleeps on a pillow
15,Pikachu hugs a stuffed bear
16,Pikachu eats noodles at a table
17,Pikachu sings into a microphone
18,Pikachu skateboards in a park
19,Pikachu climbs a tree in forest
20,Pikachu sits on a bus seat
21,Pikachu waits at a bus stop
22,Pikachu buys fruit at market
23,Pikachu folds paper on a desk
24,Pikachu waters a small plant
25,Pikachu feeds ducks at pond
26,Pikachu opens a mailbox
27,Pikachu plays guitar on stage
28,Pikachu swims in a pool
29,Pikachu wears sunglasses on beach
30,Pikachu waves from a balcony
31,Pikachu counts coins on table
32,Pikachu draws with colored pencils
33,Pikachu drinks tea at cafe
34,Pikachu reads a map on trail
35,Pikachu takes a selfie with phone
36,Pikachu throws a snowball
37,Pikachu builds a sandcastle
38,Pikachu stands by a campfire
39,Pikachu roasts marshmallows at campfire
40,Pikachu rides a carousel horse
41,Pikachu waits in an elevator
42,Pikachu stands in a crosswalk
43,Pikachu jogs around a track
44,Pikachu stretches on a yoga mat
45,Pikachu lifts a small dumbbell
46,Pikachu checks a wristwatch
47,Pikachu ties shoelaces on sneakers
48,Pikachu repairs a flat tire
49,Pikachu holds a sleeping baby
50,Pikachu pushes a shopping cart
51,Pikachu chooses apples at grocery
52,Pikachu eats an ice cream cone
53,Pikachu pets a brown dog
54,Pikachu high fives a kid
55,Pikachu watches fireworks at night
56,Pikachu sits by a window
57,Pikachu waits in a clinic
58,Pikachu stands in a library aisle
59,Pikachu holds a bouquet of flowers
60,Pikachu sits on a train seat
61,Pikachu boards a red bus
62,Pikachu fixes a leaking faucet
63,Pikachu paints a fence white
64,Pikachu climbs a metal ladder
65,Pikachu flies a colorful kite
66,Pikachu takes photos with camera
67,Pikachu carries a cardboard box
68,Pikachu sweeps leaves off porch
69,Pikachu rakes leaves in yard
70,Pikachu shovels snow from steps
71,Pikachu washes a red car
72,Pikachu parks a bicycle by rack
73,Pikachu feeds a black cat
74,Pikachu visits a flower garden
75,Pikachu smells a yellow tulip
76,Pikachu rests under a big tree
77,Pikachu looks at mountain view
78,Pikachu points at a rainbow
79,Pikachu sits near a waterfall
80,Pikachu stands on a wooden bridge
81,Pikachu crosses a shallow stream
82,Pikachu skips stones at lake
83,Pikachu rows a small boat
84,Pikachu wears a blue raincoat
85,Pikachu stacks books on shelf
86,Pikachu opens a wrapped gift
87,Pikachu writes notes in notebook
88,Pikachu plays soccer in park
89,Pikachu shoots hoops at court
90,Pikachu rides a scooter downtown
91,Pikachu waits at a crosswalk light
92,Pikachu checks a ticket at station
93,Pikachu rides an escalator at mall
94,Pikachu tries on a hat
95,Pikachu orders coffee at counter
96,Pikachu pays cash at register
97,Pikachu scans items at checkout
98,Pikachu waits for pizza delivery
99,Pikachu shares fries with friend
100,Pikachu plays cards at table
