id,prompt
1,A banana on a wooden table
2,A banana rests on a white plate
3,A banana sits in a fruit bowl
4,A banana on a kitchen counter
5,A banana on a picnic blanket
6,A banana on a market stall
7,A banana on a cutting board
8,A banana on a cafe table
9,A banana on a windowsill
10,A banana on a beach towel
11,A banana on a school desk
12,A banana on a car seat
13,A banana on a park bench
14,A banana on a nightstand
15,A banana on a grocery scale
16,A banana on a blue plate
17,A banana on a picnic table
18,A banana on a marble counter
19,A banana on a paper napkin
20,A banana on a folded towel
21,A banana on a chessboard
22,A banana on a wooden tray
23,A banana on a metal tray
24,A banana on a snowbank
25,A banana on a garden table
26,A banana on a hiking trail
27,A banana on a treadmill console
28,A banana on a library table
29,A banana on a cafe saucer
30,A banana on a skateboard
31,A banana on a grill grate
32,A banana on a sandy path
33,A banana on a red plate
34,A banana on a train seat
35,A banana on a bicycle basket
36,A banana on a stack of books
37,A banana on a bathroom counter
38,A banana on a picnic bench
39,A banana on a blue mat
40,A banana on the sidewalk
41,A banana on a stone wall
42,A banana on a windowsill at night
43,A banana under a desk lamp
44,A banana on a sunny balcony
45,A banana near a campfire
46,A banana beside a chess clock
47,A banana next to a laptop
48,A banana beside a tennis racket
49,A banana beside a sewing machine
50,A banana near a skateboard ramp
51,He peels a banana at lunch
52,She holds a banana while walking
53,A runner eats a banana after practice
54,Kids share bananas at the picnic
55,A chef slices a banana for dessert
56,A child offers a banana to dad
57,A shopper weighs bananas at checkout
58,A student packs a banana for school
59,A hiker carries a banana uphill
60,A vendor displays bananas in rows
61,A toddler eats a banana messily
62,A cyclist grabs a banana mid-ride
63,A friend hands over a banana
64,A woman buys bananas at sunrise
65,A cook caramelizes banana in a pan
66,A boy peels a banana slowly
67,A girl draws a banana from memory
68,A waiter serves a banana with oatmeal
69,A kid shows a banana proudly
70,A man packs bananas into bags
71,A parent slices a banana for baby
72,A teacher holds a banana during lesson
73,A clerk stacks bananas at noon
74,A teammate tosses a banana gently
75,Banana slices in a cereal bowl
76,A painter studies a banana still life
77,A tourist buys a banana from vendor
78,A neighbor brings bananas to brunch
79,A chef torches banana for topping
80,A baker folds banana into batter
81,A smoothie includes banana and spinach
82,A recipe lists banana as ingredient
83,A child hides a banana behind back
84,A vendor bags bananas for customers
85,A woman washes bananas in sink
86,A coach hands a banana to player
87,A boy juggles three bananas poorly
88,A girl chooses a banana at store
89,A clerk prices bananas for display
90,A dad packs a banana for work
91,A teen eats a banana on bus
92,A cook plates banana with pancakes
93,A farmer loads bananas onto truck
94,A kid sketches a banana in class
95,A student studies a banana in art
96,A barista blends banana into smoothie
97,A girl peels a banana outside
98,A friend brings a banana to gym
99,A parent buys bananas for snacks
100,A singer holds a banana onstage
