id,prompt,mapping_type,note
1,A pencil on a wooden table,replace,replace: pencil (model_score=-0.002263)
2,A food item rests on a white plate,replace,replace: food item (model_score=-0.002759)
3,A mango sits in a fruit bowl,replace,replace: mango (model_score=-0.000755)
4,An avocado on a kitchen counter,replace,replace: avocado (model_score=-0.004335)
5,A cookie on a picnic blanket,replace,replace: cookie (model_score=-0.001770)
6,A pumpkin on a market stall,replace,replace: pumpkin (model_score=-0.001785)
7,A potato on a cutting board,replace,replace: potato (model_score=-0.002098)
8,An item on a cafe table,replace,replace: item (model_score=-0.004178)
9,An object on a windowsill,replace,replace: object (model_score=-0.003511)
10,A snack on a beach towel,replace,replace: snack (model_score=-0.004311)
11,An apple on a school desk,replace,replace: apple (model_score=-0.001788)
12,An apple on a car seat,replace,replace: apple (model_score=-0.002205)
13,A bicycle on a park bench,replace,replace: bicycle (model_score=-0.002310)
14,An apple on a nightstand,replace,replace: apple (model_score=-0.001838)
15,An apple on a grocery scale,replace,replace: apple (model_score=-0.002996)
16,An apple on a blue plate,replace,replace: apple (model_score=-0.002580)
17,An apple on a picnic table,replace,replace: apple (model_score=-0.000765)
18,A mango on a marble counter,replace,replace: mango (model_score=-0.002349)
19,A carrot on a paper napkin,replace,replace: carrot (model_score=-0.001480)
20,A lemon on a folded towel,replace,replace: lemon (model_score=-0.002111)
21,A bell pepper on a chessboard,replace,replace: bell pepper (model_score=-0.002742)
22,A on a wooden tray,remove,remove: none (model_score=-0.002823)
23,An apple on a metal tray,replace,replace: apple (model_score=-0.002270)
24,A on a snowbank,remove,remove: none (model_score=-0.001327)
25,A thing on a garden table,replace,replace: thing (model_score=-0.003722)
26,A stick on a hiking trail,replace,replace: stick (model_score=-0.002195)
27,A snack on a treadmill console,replace,replace: snack (model_score=-0.003599)
28,A object on a library table,replace,replace: object (model_score=-0.002762)
29,A item on a cafe saucer,replace,replace: item (model_score=-0.001922)
30,A skateboard on a skateboard,replace,replace: skateboard (model_score=-0.005010)
31,A peach on a grill grate,replace,replace: peach (model_score=-0.001837)
32,A stick on a sandy path,replace,replace: stick (model_score=-0.002580)
33,A flower on a red plate,replace,replace: flower (model_score=-0.001593)
34,A train seat,remove,remove: none (model_score=-0.004486)
35,A toy in a bicycle basket,replace,replace: toy (model_score=-0.001809)
36,A toy on a stack of books,replace,replace: toy (model_score=-0.002187)
37,A candle on a bathroom counter,replace,replace: candle (model_score=-0.002478)
38,A sandwich on a picnic bench,replace,replace: sandwich (model_score=-0.004412)
39,A toy on a blue mat,replace,replace: toy (model_score=-0.002808)
40,A flower on the sidewalk,replace,replace: flower (model_score=-0.001883)
41,A grapefruit on a stone wall,replace,replace: grapefruit (model_score=-0.002076)
42,A pear on a windowsill at night,replace,replace: pear (model_score=-0.001227)
43,A candle under a desk lamp,replace,replace: candle (model_score=-0.001628)
44,A drink on a sunny balcony,replace,replace: drink (model_score=-0.002594)
45,A lantern near a campfire,replace,replace: lantern (model_score=-0.002294)
46,A thing beside a chess clock,replace,replace: thing (model_score=-0.002693)
47,A phone next to a laptop,replace,replace: phone (model_score=-0.001908)
48,A ball beside a tennis racket,replace,replace: ball (model_score=-0.002871)
49,A beside a sewing machine,remove,remove: none (model_score=-0.002207)
50,A skateboard deck near a skateboard ramp,replace,replace: skateboard deck (model_score=-0.001057)
51,He peels a mango at lunch,replace,replace: mango (model_score=-0.001024)
52,She holds a flower while walking,replace,replace: flower (model_score=-0.002810)
53,A runner eats a fruit after practice,replace,replace: fruit (model_score=-0.001734)
54,Kids share drinks at the picnic,replace,replace: drinks (model_score=-0.002769)
55,A chef slices a pie for dessert,replace,replace: pie (model_score=-0.001965)
56,A child offers an apple to dad,replace,replace: apple (model_score=-0.001751)
57,A shopper weighs carrots at checkout,replace,replace: carrots (model_score=-0.001535)
58,A student packs something for school,replace,replace: something (model_score=-0.001876)
59,A hiker carries a snack uphill,replace,replace: snack (model_score=-0.001646)
60,A vendor displays apples in rows,replace,replace: apples (model_score=-0.001181)
61,A toddler eats a carrot messily,replace,replace: carrot (model_score=-0.001025)
62,A cyclist grabs an apple mid-ride,replace,replace: apple (model_score=-0.002140)
63,A friend hands over an orange,replace,replace: orange (model_score=-0.003095)
64,A woman buys apples at sunrise,replace,replace: apples (model_score=-0.001536)
65,A cook caramelizes mushrooms in a pan,replace,replace: mushrooms (model_score=-0.000540)
66,A boy peels a potato slowly,replace,replace: potato (model_score=-0.004881)
67,A girl draws an apple from memory,replace,replace: apple (model_score=-0.000488)
68,A waiter serves a cookie with oatmeal,replace,replace: cookie (model_score=-0.003955)
69,A kid shows an apple proudly,replace,replace: apple (model_score=-0.002199)
70,A man packs food into bags,replace,replace: food (model_score=-0.001405)
71,A parent slices a carrot for baby,replace,replace: carrot (model_score=-0.001379)
72,A teacher holds an item during lesson,replace,replace: item (model_score=-0.002479)
73,A clerk stacks oranges at noon,replace,replace: oranges (model_score=-0.001804)
74,A teammate tosses a flower gently,replace,replace: flower (model_score=-0.001855)
75,Apple slices in a cereal bowl,replace,replace: apple (model_score=-0.001920)
76,A painter studies a pear still life,replace,replace: pear (model_score=-0.001977)
77,A tourist buys an apple from vendor,replace,replace: apple (model_score=-0.002897)
78,A neighbor brings grapes to brunch,replace,replace: grapes (model_score=-0.001499)
79,A chef torches mango for topping,replace,replace: mango (model_score=-0.001858)
80,A baker folds vanilla into batter,replace,replace: vanilla (model_score=-0.001000)
81,A smoothie includes orange and spinach,replace,replace: orange (model_score=-0.003190)
82,A recipe lists apple as ingredient,replace,replace: apple (model_score=-0.002881)
83,A child hides a snack behind back,replace,replace: snack (model_score=-0.001958)
84,A vendor bags oranges for customers,replace,replace: oranges (model_score=-0.001732)
85,A woman washes carrots in sink,replace,replace: carrots (model_score=-0.001628)
86,A coach hands a drink to player,replace,replace: drink (model_score=-0.004649)
87,A boy juggles three oranges poorly,replace,replace: oranges (model_score=-0.000802)
88,A girl chooses a snack at store,replace,replace: snack (model_score=-0.002761)
89,A clerk prices vegetables for display,replace,replace: vegetables (model_score=-0.001916)
90,A dad packs an apple for work,replace,replace: apple (model_score=-0.002538)
91,A teen eats a snack on bus,replace,replace: snack (model_score=-0.002821)
92,A cook plates cream with pancakes,replace,replace: cream (model_score=-0.001875)
93,A farmer loads carrots onto truck,replace,replace: carrots (model_score=-0.002597)
94,A kid sketches an apple in class,replace,replace: apple (model_score=-0.000914)
95,A student studies a flower in art,replace,replace: flower (model_score=-0.004365)
96,A barista blends oat into smoothie,replace,replace: oat (model_score=-0.001842)
97,A girl peels a potato outside,replace,replace: potato (model_score=-0.001932)
98,A friend brings a snack to gym,replace,replace: snack (model_score=-0.003412)
99,A parent buys crackers for snacks,replace,replace: crackers (model_score=-0.003083)
100,A singer holds an apple onstage,replace,replace: apple (model_score=-0.000558)
